block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
12344945,"1,000–10,000",1044514,1.9852639600809563,1.0,1.0,2.0,4.0,6.0,10.0,253.0
12344945,"10,000–100,000",365465,3.252850478157963,1.0,1.0,4.0,8.0,11.0,22.0,526.0
12344945,"100–1,000",2049215,1.37950093084425,1.0,1.0,1.0,2.0,3.0,5.0,239.0
12344945,1–100,6095335,1.1578098660697074,1.0,1.0,1.0,2.0,2.0,3.0,216.0
12344945,">100,000",102209,3.253461045504799,1.0,1.0,3.0,7.0,13.0,30.0,627.0
12545219,0–1,3307289,1.1212806017254615,1.0,1.0,1.0,1.0,2.0,3.0,290.0
12545219,"1,000–10,000",1038388,2.108562502648336,1.0,1.0,2.0,4.0,6.0,12.0,131.0
12545219,"10,000–100,000",324929,3.1811688091860066,1.0,1.0,3.0,7.0,11.0,23.0,583.0
12545219,"100–1,000",2273774,1.39561495557606,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12545219,1–100,6328921,1.1672041727175928,1.0,1.0,1.0,2.0,2.0,3.0,349.0
12545219,">100,000",90804,3.0205387427866612,1.0,1.0,2.0,6.0,11.0,28.0,681.0
12738509,0–1,3344475,1.1283427144768612,1.0,1.0,1.0,1.0,2.0,3.0,328.0
12738509,"1,000–10,000",986660,2.1997425658281475,1.0,1.0,2.0,5.0,7.0,13.0,350.0
12738509,"10,000–100,000",271508,3.202233451684665,1.0,1.0,3.0,7.0,12.0,24.0,614.0
12738509,"100–1,000",2314291,1.4312759285673236,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12738509,1–100,6552870,1.176487706913154,1.0,1.0,1.0,2.0,2.0,4.0,257.0
12738509,">100,000",82663,2.903451362762058,1.0,1.0,2.0,6.0,10.0,27.0,715.0
12936340,0–1,3433608,1.1271050743125015,1.0,1.0,1.0,1.0,2.0,3.0,328.0
12936340,"1,000–10,000",1009676,2.22774038404399,1.0,1.0,2.0,5.0,7.0,13.0,643.0
12936340,"10,000–100,000",270241,3.4527107285719043,1.0,1.0,4.0,8.0,12.0,25.0,481.0
12936340,"100–1,000",2480203,1.4203470441734003,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12936340,1–100,6779553,1.1745885016313022,1.0,1.0,1.0,2.0,2.0,4.0,398.0
12936340,">100,000",96509,2.873856324280637,1.0,1.0,2.0,6.0,10.0,27.0,755.0
13136427,0–1,3454763,1.1257023998462412,1.0,1.0,1.0,1.0,2.0,3.0,328.0
13136427,"1,000–10,000",1176605,2.118655793575584,1.0,1.0,2.0,4.0,6.0,11.0,313.0
13136427,"10,000–100,000",365427,3.234172625449132,1.0,1.0,3.0,8.0,11.0,23.0,665.0
13136427,"100–1,000",2753227,1.3785546923664485,1.0,1.0,1.0,2.0,3.0,6.0,253.0
13136427,1–100,6831009,1.166342190443608,1.0,1.0,1.0,2.0,2.0,3.0,398.0
13136427,">100,000",111774,3.1445685043033262,1.0,1.0,2.0,6.0,11.0,29.0,785.0
13330090,0–1,3508132,1.1131277272348932,1.0,1.0,1.0,1.0,2.0,3.0,328.0
13330090,"1,000–10,000",1202431,2.1307725765553283,1.0,1.0,2.0,4.0,6.0,12.0,684.0
13330090,"10,000–100,000",355479,3.2001552834344644,1.0,1.0,3.0,7.0,11.0,23.0,555.0
13330090,"100–1,000",2896094,1.3840759312370385,1.0,1.0,1.0,2.0,3.0,6.0,313.0
13330090,1–100,7094464,1.1778386640625704,1.0,1.0,1.0,2.0,2.0,4.0,392.0
13330090,">100,000",112372,3.1068593599829137,1.0,1.0,2.0,6.0,11.0,29.0,823.0
13527859,0–1,3627013,1.1067589225624501,1.0,1.0,1.0,1.0,2.0,3.0,328.0
13527859,"1,000–10,000",1598744,1.910521634483069,1.0,1.0,2.0,4.0,5.0,10.0,700.0
13527859,"10,000–100,000",474806,2.9990522444956467,1.0,1.0,3.0,7.0,10.0,21.0,583.0
13527859,"100–1,000",3231822,1.3364928514008507,1.0,1.0,1.0,2.0,3.0,5.0,392.0
13527859,1–100,6917672,1.169125538186835,1.0,1.0,1.0,2.0,2.0,3.0,304.0
13527859,">100,000",136950,3.2323110624315445,1.0,1.0,3.0,7.0,11.0,29.0,863.0
13717847,0–1,3569032,1.1054263452947466,1.0,1.0,1.0,1.0,2.0,3.0,328.0
13717847,"1,000–10,000",1726694,1.8966365783398795,1.0,1.0,2.0,4.0,5.0,10.0,314.0
13717847,"10,000–100,000",487026,3.083736802552636,1.0,1.0,3.0,7.0,11.0,21.0,729.0
13717847,"100–1,000",5967541,1.2559524936653137,1.0,1.0,1.0,2.0,2.0,4.0,392.0
