block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
10771925,CA,"10,000–100,000",595,1.4823529411764707,1.0,1.0,2.0,2.0,3.0,6.0,8.0
10771925,CA,"100–1,000",837,1.3679808841099164,1.0,1.0,1.0,2.0,3.0,5.0,9.0
10771925,CA,1–100,1415,1.2777385159010601,1.0,1.0,1.0,2.0,3.0,5.0,8.0
10771925,CA,">100,000",472,1.625,1.5,1.0,2.0,2.0,3.0,5.2900000000000205,11.0
10771925,EOA,0–1,2786581,1.1302172806030042,1.0,1.0,1.0,1.0,2.0,3.0,99.0
10771925,EOA,"1,000–10,000",350953,1.98599242633629,1.0,1.0,2.0,4.0,6.0,10.0,187.0
10771925,EOA,"10,000–100,000",105148,2.4147772663293643,1.0,1.0,2.0,6.0,8.0,15.0,146.0
10771925,EOA,"100–1,000",744144,1.4642932013158743,1.0,1.0,1.0,3.0,4.0,7.0,129.0
10771925,EOA,1–100,4282685,1.1981478908675283,1.0,1.0,1.0,2.0,2.0,4.0,73.0
10771925,EOA,">100,000",25616,2.3631324172392256,1.0,1.0,2.0,5.0,8.0,18.0,197.0
10966874,CA,0–1,8657,1.0370798197990065,1.0,1.0,1.0,1.0,1.0,2.0,20.0
10966874,CA,"1,000–10,000",1315,1.3771863117870722,1.0,1.0,1.0,2.0,3.0,6.0,26.0
10966874,CA,"10,000–100,000",1026,1.4230019493177388,1.0,1.0,2.0,2.0,3.0,5.75,13.0
10966874,CA,"100–1,000",1391,1.2940330697340043,1.0,1.0,1.0,2.0,3.0,5.0,8.0
10966874,CA,1–100,2234,1.2121754700089526,1.0,1.0,1.0,2.0,2.0,5.0,9.0
10966874,CA,">100,000",683,1.6237188872620791,2.0,1.0,2.0,2.0,2.0,6.0,13.0
10966874,EOA,0–1,2797184,1.1390337568068458,1.0,1.0,1.0,1.0,2.0,3.0,100.0
10966874,EOA,"1,000–10,000",440257,2.040351431095928,1.0,1.0,2.0,4.0,6.0,11.0,201.0
10966874,EOA,"10,000–100,000",101012,2.4268205757731756,1.0,1.0,2.0,6.0,9.0,17.0,89.0
10966874,EOA,"100–1,000",886580,1.4521148683705927,1.0,1.0,1.0,3.0,4.0,7.0,131.0
10966874,EOA,1–100,4448994,1.2024441930018337,1.0,1.0,1.0,2.0,2.0,4.0,58.0
10966874,EOA,">100,000",26779,2.2362298816236605,1.0,1.0,1.0,4.0,8.0,19.0,204.0
11167817,CA,0–1,13922,1.0306708806206004,1.0,1.0,1.0,1.0,1.0,2.0,20.0
11167817,CA,"1,000–10,000",1758,1.3282138794084186,1.0,1.0,1.0,2.0,2.0,5.0,26.0
11167817,CA,"10,000–100,000",1216,1.365953947368421,1.0,1.0,2.0,2.0,2.0,5.0,14.0
11167817,CA,"100–1,000",1997,1.257386079118678,1.0,1.0,1.0,2.0,2.0,5.0,9.0
11167817,CA,1–100,3652,1.1730558598028478,1.0,1.0,1.0,2.0,2.0,4.0,9.0
11167817,CA,">100,000",742,1.6671159029649596,2.0,1.0,2.0,2.0,3.0,6.0,13.0
11167817,EOA,0–1,2911032,1.135979611354324,1.0,1.0,1.0,1.0,2.0,3.0,100.0
11167817,EOA,"1,000–10,000",326000,2.3414785276073617,1.0,1.0,3.0,5.0,7.0,13.0,197.0
11167817,EOA,"10,000–100,000",108289,2.2350746613229413,1.0,1.0,2.0,5.0,8.0,16.0,182.0
11167817,EOA,"100–1,000",736167,1.6216537823618826,1.0,1.0,2.0,3.0,4.0,8.0,174.0
11167817,EOA,1–100,4661561,1.2112704306561686,1.0,1.0,1.0,2.0,2.0,4.0,238.0
