size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
2,384758,10.8045,EOA,1–100,9393154
21–50,86,0.0024,EOA,1–100,9393154
3,75103,2.109,EOA,1–100,9393154
4,28080,0.7885,EOA,1–100,9393154
5,13127,0.3686,EOA,1–100,9393154
51–100,1,0.0,EOA,1–100,9393154
6–10,13633,0.3828,EOA,1–100,9393154
1,4267,68.7782,EOA,">100,000",9393154
11–20,114,1.8375,EOA,">100,000",9393154
2,798,12.8627,EOA,">100,000",9393154
21–50,57,0.9188,EOA,">100,000",9393154
3,362,5.8349,EOA,">100,000",9393154
4,215,3.4655,EOA,">100,000",9393154
5,127,2.0471,EOA,">100,000",9393154
51–100,17,0.274,EOA,">100,000",9393154
6–10,245,3.9491,EOA,">100,000",9393154
>100,2,0.0322,EOA,">100,000",9393154
1,939,93.9,CA,0–1,9581792
11–20,1,0.1,CA,0–1,9581792
2,45,4.5,CA,0–1,9581792
3,10,1.0,CA,0–1,9581792
4,3,0.3,CA,0–1,9581792
6–10,2,0.2,CA,0–1,9581792
1,47,65.2778,CA,"1,000–10,000",9581792
2,12,16.6667,CA,"1,000–10,000",9581792
3,6,8.3333,CA,"1,000–10,000",9581792
4,4,5.5556,CA,"1,000–10,000",9581792
5,1,1.3889,CA,"1,000–10,000",9581792
6–10,2,2.7778,CA,"1,000–10,000",9581792
1,5,55.5556,CA,"10,000–100,000",9581792
2,2,22.2222,CA,"10,000–100,000",9581792
4,1,11.1111,CA,"10,000–100,000",9581792
6–10,1,11.1111,CA,"10,000–100,000",9581792
1,62,66.6667,CA,"100–1,000",9581792
2,13,13.9785,CA,"100–1,000",9581792
21–50,1,1.0753,CA,"100–1,000",9581792
3,9,9.6774,CA,"100–1,000",9581792
4,2,2.1505,CA,"100–1,000",9581792
5,2,2.1505,CA,"100–1,000",9581792
6–10,4,4.3011,CA,"100–1,000",9581792
1,196,69.7509,CA,1–100,9581792
2,48,17.0819,CA,1–100,9581792
3,16,5.694,CA,1–100,9581792
4,11,3.9146,CA,1–100,9581792
