size_bucket,wallet_count,wallet_pct,wealth_bucket,block
4,30014,0.7119,1–100,10370274
5,13586,0.3222,1–100,10370274
6–10,14116,0.3348,1–100,10370274
1,9247,71.4054,">100,000",10370274
11–20,198,1.529,">100,000",10370274
2,1491,11.5135,">100,000",10370274
21–50,77,0.5946,">100,000",10370274
3,665,5.1351,">100,000",10370274
4,403,3.112,">100,000",10370274
5,303,2.3398,">100,000",10370274
51–100,25,0.1931,">100,000",10370274
6–10,539,4.1622,">100,000",10370274
>100,2,0.0154,">100,000",10370274
0,1,0.0,0–1,10570485
1,2490247,90.2164,0–1,10570485
11–20,383,0.0139,0–1,10570485
2,206169,7.4691,0–1,10570485
21–50,20,0.0007,0–1,10570485
3,40940,1.4832,0–1,10570485
4,12859,0.4659,0–1,10570485
5,6767,0.2452,0–1,10570485
51–100,1,0.0,0–1,10570485
6–10,2916,0.1056,0–1,10570485
1,128201,58.8207,"1,000–10,000",10570485
11–20,2512,1.1525,"1,000–10,000",10570485
2,34908,16.0164,"1,000–10,000",10570485
21–50,206,0.0945,"1,000–10,000",10570485
3,19777,9.074,"1,000–10,000",10570485
4,11772,5.4012,"1,000–10,000",10570485
5,7628,3.4999,"1,000–10,000",10570485
51–100,11,0.005,"1,000–10,000",10570485
6–10,12937,5.9357,"1,000–10,000",10570485
1,53451,70.4591,"10,000–100,000",10570485
11–20,1496,1.972,"10,000–100,000",10570485
2,7618,10.0421,"10,000–100,000",10570485
21–50,189,0.2491,"10,000–100,000",10570485
3,4189,5.5219,"10,000–100,000",10570485
4,2757,3.6343,"10,000–100,000",10570485
5,1968,2.5942,"10,000–100,000",10570485
51–100,6,0.0079,"10,000–100,000",10570485
6–10,4186,5.518,"10,000–100,000",10570485
>100,1,0.0013,"10,000–100,000",10570485
1,365321,72.3253,"100–1,000",10570485
11–20,1374,0.272,"100–1,000",10570485
2,67813,13.4254,"100–1,000",10570485
21–50,128,0.0253,"100–1,000",10570485
3,33324,6.5974,"100–1,000",10570485
4,16751,3.3163,"100–1,000",10570485
5,9150,1.8115,"100–1,000",10570485
