block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist,count
21089069,2024-11-01 00:00:00,better_return,2,17.699289310469148,1.4944584833531671e-06,28.18531415144501,2794823
21089069,2024-11-01 00:00:00,better_return,21+,75.10348592387507,76.89915219769505,17.726651888973173,22304
21089069,2024-11-01 00:00:00,better_return,3,30.7731002449296,22.529199847229734,28.230623158700023,876239
21089069,2024-11-01 00:00:00,better_return,4,40.90377975627646,36.69831095471612,28.744965763146347,401551
21089069,2024-11-01 00:00:00,better_return,5,47.88708547688178,45.86321660276963,28.090056931158312,221826
21089069,2024-11-01 00:00:00,better_return,6-10,55.88540327389127,55.98193002402353,25.998160881853067,351258
21089069,2024-11-01 00:00:00,max_sharpe,11-20,73.97281917221083,76.49183658981349,18.455352104730053,96152
21089069,2024-11-01 00:00:00,max_sharpe,2,37.65964412830792,33.68901989574288,32.761613460604394,2794823
21089069,2024-11-01 00:00:00,max_sharpe,21+,78.93483100564212,80.99860472474415,14.553409390652012,22304
21089069,2024-11-01 00:00:00,max_sharpe,3,51.07822722385348,53.15916876686836,30.79414229358125,876239
21089069,2024-11-01 00:00:00,max_sharpe,4,58.79528468409189,62.83267519759228,28.3829695384918,401551
21089069,2024-11-01 00:00:00,max_sharpe,5,62.923272616212245,66.78167640656437,26.2608101309994,221826
21089069,2024-11-01 00:00:00,max_sharpe,6-10,67.82768405774745,71.26613761967366,23.19040471228465,351258
21089069,2024-11-01 00:00:00,safer_risk,11-20,61.41683067233976,62.18883411172331,17.62241988782866,96152
21089069,2024-11-01 00:00:00,safer_risk,2,2.0117405591144733e-07,4.8042853723062606e-08,6.9353205723125755e-06,2794823
21089069,2024-11-01 00:00:00,safer_risk,21+,69.99987470496643,71.11030180731674,14.806336758112867,22304
21089069,2024-11-01 00:00:00,safer_risk,3,22.18781650499015,16.34415723710334,20.86790993340363,876239
21089069,2024-11-01 00:00:00,safer_risk,4,34.01898916961145,31.370592664334048,22.532018965624435,401551
21089069,2024-11-01 00:00:00,safer_risk,5,41.13187726524785,40.24993547875226,21.99971210254246,221826
21089069,2024-11-01 00:00:00,safer_risk,6-10,49.99571546728248,50.1134050669047,20.89032620700395,351258
21303934,2024-12-01 00:00:00,better_return,11-20,70.06243380301686,72.17301994324995,21.6223463295148,103511
21303934,2024-12-01 00:00:00,better_return,2,15.771398622731859,3.02688075992652e-07,26.46658924164566,2906042
21303934,2024-12-01 00:00:00,better_return,21+,79.12266259633661,81.88433182031855,17.12495131503715,24387
21303934,2024-12-01 00:00:00,better_return,3,31.462630142646,23.295307758994113,28.167283841302435,917332
21303934,2024-12-01 00:00:00,better_return,4,43.24244728794307,40.3407232342863,28.800975777501982,423844
21303934,2024-12-01 00:00:00,better_return,5,50.31202385801604,49.29496064437294,28.156182606125043,234761
21303934,2024-12-01 00:00:00,better_return,6-10,58.3986925958558,59.282792006197944,26.297195279240665,374506
21303934,2024-12-01 00:00:00,max_sharpe,11-20,73.30086910423023,74.48702977808436,16.894769384324263,103511
21303934,2024-12-01 00:00:00,max_sharpe,2,36.38535226231063,31.55050761833957,31.688838301254258,2906042
21303934,2024-12-01 00:00:00,max_sharpe,21+,79.28680136509288,80.48339987489864,13.180061488483732,24387
21303934,2024-12-01 00:00:00,max_sharpe,3,50.399772122609725,51.324818964395575,29.664803024644073,917332
21303934,2024-12-01 00:00:00,max_sharpe,4,58.33625786024152,60.43021453908328,26.817718733051034,423844
21303934,2024-12-01 00:00:00,max_sharpe,5,62.126040750771715,63.942997865991366,24.659768730284892,234761
21303934,2024-12-01 00:00:00,max_sharpe,6-10,66.73907845334297,68.45664190715826,21.686152989585874,374506
21303934,2024-12-01 00:00:00,safer_risk,11-20,63.03048208452255,63.84718604717885,17.240836152302812,103511
21303934,2024-12-01 00:00:00,safer_risk,2,2.424649422548704e-07,5.313919235194753e-08,2.5426374601199083e-05,2906042
21303934,2024-12-01 00:00:00,safer_risk,21+,72.72532706910718,73.972668678476,14.264145698755726,24387
21303934,2024-12-01 00:00:00,safer_risk,3,22.335764075901672,15.965214509959345,21.634788577860895,917332
21303934,2024-12-01 00:00:00,safer_risk,4,34.63609628292445,31.75303582359892,22.617424242688575,423844
21303934,2024-12-01 00:00:00,safer_risk,5,41.88022469406031,40.70185765186232,22.013975502617576,234761
21303934,2024-12-01 00:00:00,safer_risk,6-10,50.765934514221215,50.81072738682083,20.74797705964178,374506
21525891,2025-01-01 00:00:00,better_return,11-20,68.9659825241765,70.49123863201784,21.743991209592295,117034
21525891,2025-01-01 00:00:00,better_return,2,16.61887623581363,3.170194960711026e-07,26.777514427386652,2974972
21525891,2025-01-01 00:00:00,better_return,21+,78.7420238454359,81.2775301232551,17.144958651032198,30147
21525891,2025-01-01 00:00:00,better_return,3,32.947766121638146,25.632209816463607,28.912975769350084,955258
21525891,2025-01-01 00:00:00,better_return,4,42.30682049833439,38.52517590186213,28.68377266563919,445809
21525891,2025-01-01 00:00:00,better_return,5,48.492131077593235,46.475669524109975,28.07759740056852,249147
21525891,2025-01-01 00:00:00,better_return,6-10,57.672467698137886,57.754359328401485,26.089033600011458,404705
21525891,2025-01-01 00:00:00,max_sharpe,11-20,74.49944070013457,76.3163450003768,17.483618479167514,117034
21525891,2025-01-01 00:00:00,max_sharpe,2,34.758406427542624,31.107657522981697,30.537612183485095,2974972
21525891,2025-01-01 00:00:00,max_sharpe,21+,81.02024573647422,82.68356631681752,13.596761122494549,30147
21525891,2025-01-01 00:00:00,max_sharpe,3,51.85582041089225,54.21218607215394,29.456859708280202,955258
21525891,2025-01-01 00:00:00,max_sharpe,4,57.908569426962465,60.310958136737405,27.428607706441277,445809
21525891,2025-01-01 00:00:00,max_sharpe,5,61.90919637020021,64.27350036317851,25.673684490429228,249147
21525891,2025-01-01 00:00:00,max_sharpe,6-10,67.81576466923411,70.13796968004601,22.174830320923505,404705
21525891,2025-01-01 00:00:00,safer_risk,11-20,62.387073566908775,63.15593953929448,17.62291381220105,117034
21525891,2025-01-01 00:00:00,safer_risk,2,1.3641863801390519e-05,3.616734134403998e-08,0.023190955617838724,2974972
21525891,2025-01-01 00:00:00,safer_risk,21+,73.01904482023323,74.42609675196053,14.57616683916171,30147
21525891,2025-01-01 00:00:00,safer_risk,3,22.83840036345115,16.775656364740904,21.279397988287727,955258
21525891,2025-01-01 00:00:00,safer_risk,4,33.38086643873147,30.57906398127174,22.091134708945376,445809
21525891,2025-01-01 00:00:00,safer_risk,5,40.54781329143292,38.966187164158804,21.955352072355062,249147
21525891,2025-01-01 00:00:00,safer_risk,6-10,50.06744265068779,49.85292053073409,20.734373120548433,404705
