block_number,block_date,n_wallets,strategy,metric,quantile,value
9393154,2020-02-01,914540,baseline,alpha,0.1,-0.5868208543010313
9393154,2020-02-01,914540,baseline,alpha,0.25,-0.5641068099681867
9393154,2020-02-01,914540,baseline,alpha,0.5,-0.04323337873783857
9393154,2020-02-01,914540,baseline,alpha,0.75,0.11312775560796648
9393154,2020-02-01,914540,baseline,alpha,0.9,0.3213918771646096
9393154,2020-02-01,914540,baseline,alpha,0.95,0.5373850610781113
9393154,2020-02-01,914540,baseline,alpha,0.99,1.3678100663119916
9393154,2020-02-01,914540,baseline,excess_return,0.01,-0.6466084275386965
9393154,2020-02-01,914540,baseline,excess_return,0.05,-0.6464337928182626
9393154,2020-02-01,914540,baseline,excess_return,0.1,-0.6462105726175745
9393154,2020-02-01,914540,baseline,excess_return,0.25,-0.6232376016077692
9393154,2020-02-01,914540,baseline,excess_return,0.5,-0.11788734408691232
9393154,2020-02-01,914540,baseline,excess_return,0.75,0.0739927057553948
9393154,2020-02-01,914540,baseline,excess_return,0.9,0.2689563714351506
9393154,2020-02-01,914540,baseline,excess_return,0.95,0.4868143912739699
9393154,2020-02-01,914540,baseline,excess_return,0.99,1.2958211153296375
9393154,2020-02-01,914540,better_return,alpha,0.01,-0.5547127847499697
9393154,2020-02-01,914540,better_return,alpha,0.05,-0.520560955531689
9393154,2020-02-01,914540,better_return,alpha,0.1,-0.4457756689373418
9393154,2020-02-01,914540,better_return,alpha,0.25,-0.17992994953921923
9393154,2020-02-01,914540,better_return,alpha,0.5,-0.07634799251452859
9393154,2020-02-01,914540,better_return,alpha,0.75,0.06445840947234967
9393154,2020-02-01,914540,better_return,alpha,0.9,0.3293342425164209
9393154,2020-02-01,914540,better_return,alpha,0.95,0.5248293050000775
9393154,2020-02-01,914540,better_return,alpha,0.99,1.3698734264761971
9393154,2020-02-01,914540,better_return,excess_return,0.01,-0.616732149681338
9393154,2020-02-01,914540,better_return,excess_return,0.05,-0.5755386835702148
9393154,2020-02-01,914540,better_return,excess_return,0.1,-0.491286264641636
9393154,2020-02-01,914540,better_return,excess_return,0.25,-0.20677589804601765
9393154,2020-02-01,914540,better_return,excess_return,0.5,-0.14353095165582136
9393154,2020-02-01,914540,better_return,excess_return,0.75,0.019260829552985026
9393154,2020-02-01,914540,better_return,excess_return,0.9,0.2681768436011523
9393154,2020-02-01,914540,better_return,excess_return,0.95,0.43325746938121507
9393154,2020-02-01,914540,better_return,excess_return,0.99,1.2957900473512356
9393154,2020-02-01,914540,equal_weight,alpha,0.01,-0.4201719479777499
9393154,2020-02-01,914540,equal_weight,alpha,0.05,-0.30795941992566506
9393154,2020-02-01,914540,equal_weight,alpha,0.1,-0.30220604258573003
9393154,2020-02-01,914540,equal_weight,alpha,0.25,-0.3022060425857298
9393154,2020-02-01,914540,equal_weight,alpha,0.5,-0.09524692636568474
9393154,2020-02-01,914540,equal_weight,alpha,0.75,0.0774363314166884
9393154,2020-02-01,914540,equal_weight,alpha,0.9,0.2763014711156079
9393154,2020-02-01,914540,equal_weight,alpha,0.95,0.44499235277366556
9393154,2020-02-01,914540,equal_weight,alpha,0.99,1.1658198592894675
9393154,2020-02-01,914540,equal_weight,excess_return,0.01,-0.49716098516266416
9393154,2020-02-01,914540,equal_weight,excess_return,0.05,-0.36546030141384855
9393154,2020-02-01,914540,equal_weight,excess_return,0.1,-0.3654603014138484
9393154,2020-02-01,914540,equal_weight,excess_return,0.25,-0.35953921078071044
9393154,2020-02-01,914540,equal_weight,excess_return,0.5,-0.13268787026634826
9393154,2020-02-01,914540,equal_weight,excess_return,0.75,0.02316621472481839
9393154,2020-02-01,914540,equal_weight,excess_return,0.9,0.21636511037600542
9393154,2020-02-01,914540,equal_weight,excess_return,0.95,0.34359906255838807
9393154,2020-02-01,914540,equal_weight,excess_return,0.99,1.1135881491747044
9393154,2020-02-01,914540,max_sharpe,alpha,0.01,-0.5718036436083299
9393154,2020-02-01,914540,max_sharpe,alpha,0.05,-0.5437911595904331
9393154,2020-02-01,914540,max_sharpe,alpha,0.1,-0.531119603671464
9393154,2020-02-01,914540,max_sharpe,alpha,0.25,-0.5311196036714638
9393154,2020-02-01,914540,max_sharpe,alpha,0.5,-0.25531469202286095
9393154,2020-02-01,914540,max_sharpe,alpha,0.75,0.03500804370464937
9393154,2020-02-01,914540,max_sharpe,alpha,0.9,0.3493018260032462
9393154,2020-02-01,914540,max_sharpe,alpha,0.95,0.5617663616890544
9393154,2020-02-01,914540,max_sharpe,alpha,0.99,1.2803643446899517
9393154,2020-02-01,914540,max_sharpe,excess_return,0.01,-0.6167321496812479
9393154,2020-02-01,914540,max_sharpe,excess_return,0.05,-0.6016781103358122
9393154,2020-02-01,914540,max_sharpe,excess_return,0.1,-0.5903920129314846
9393154,2020-02-01,914540,max_sharpe,excess_return,0.25,-0.5903920129314846
9393154,2020-02-01,914540,max_sharpe,excess_return,0.5,-0.24552357116618656
9393154,2020-02-01,914540,max_sharpe,excess_return,0.75,0.011972863965633407
9393154,2020-02-01,914540,max_sharpe,excess_return,0.9,0.30479761781853887
9393154,2020-02-01,914540,max_sharpe,excess_return,0.95,0.43636728206431835
9393154,2020-02-01,914540,max_sharpe,excess_return,0.99,1.0777246666992217
9393154,2020-02-01,914540,mcap_weight,alpha,0.01,-0.5813164150745891
9393154,2020-02-01,914540,mcap_weight,alpha,0.05,-0.5036053888099628
9393154,2020-02-01,914540,mcap_weight,alpha,0.1,-0.45269154423752545
9393154,2020-02-01,914540,mcap_weight,alpha,0.25,-0.45269154423752533
9393154,2020-02-01,914540,mcap_weight,alpha,0.5,-0.03854573251877197
9393154,2020-02-01,914540,mcap_weight,alpha,0.75,0.14900097418432479
9393154,2020-02-01,914540,mcap_weight,alpha,0.9,0.2788891298193408
9393154,2020-02-01,914540,mcap_weight,alpha,0.95,0.4466683615885542
9393154,2020-02-01,914540,mcap_weight,alpha,0.99,0.9926768243188271
9393154,2020-02-01,914540,mcap_weight,excess_return,0.01,-0.640375729836296
9393154,2020-02-01,914540,mcap_weight,excess_return,0.05,-0.564670563084874
9393154,2020-02-01,914540,mcap_weight,excess_return,0.1,-0.5133281747044618
9393154,2020-02-01,914540,mcap_weight,excess_return,0.25,-0.5133281747044618
9393154,2020-02-01,914540,mcap_weight,excess_return,0.5,-0.09151301318980204
9393154,2020-02-01,914540,mcap_weight,excess_return,0.75,0.11128710567049721
9393154,2020-02-01,914540,mcap_weight,excess_return,0.9,0.2541289657136943
9393154,2020-02-01,914540,mcap_weight,excess_return,0.95,0.3828295629045897
9393154,2020-02-01,914540,mcap_weight,excess_return,0.99,0.9220898762503273
9393154,2020-02-01,914540,safer_risk,alpha,0.01,-0.5547127845578135
9393154,2020-02-01,914540,safer_risk,alpha,0.05,-0.5311196038002809
9393154,2020-02-01,914540,safer_risk,alpha,0.1,-0.5311196038002808
9393154,2020-02-01,914540,safer_risk,alpha,0.25,-0.511261154769801
9393154,2020-02-01,914540,safer_risk,alpha,0.5,-0.056095894915726016
9393154,2020-02-01,914540,safer_risk,alpha,0.75,0.10463502255181636
9393154,2020-02-01,914540,safer_risk,alpha,0.9,0.3135148429001421
9393154,2020-02-01,914540,safer_risk,alpha,0.95,0.5027570748513935
9393154,2020-02-01,914540,safer_risk,alpha,0.99,1.3676341842042894
9393154,2020-02-01,914540,safer_risk,excess_return,0.01,-0.6167321495105622
9393154,2020-02-01,914540,safer_risk,excess_return,0.05,-0.5903920130580609
9393154,2020-02-01,914540,safer_risk,excess_return,0.1,-0.5903920130580607
9393154,2020-02-01,914540,safer_risk,excess_return,0.25,-0.5699465982883252
9393154,2020-02-01,914540,safer_risk,excess_return,0.5,-0.12372916416681895
9393154,2020-02-01,914540,safer_risk,excess_return,0.75,0.05503941173650756
9393154,2020-02-01,914540,safer_risk,excess_return,0.9,0.2576708644845765
9393154,2020-02-01,914540,safer_risk,excess_return,0.95,0.4393386402081459
9393154,2020-02-01,914540,safer_risk,excess_return,0.99,1.293449109931858
9581792,2020-03-01,926317,baseline,alpha,0.01,-0.6305332934513561
9581792,2020-03-01,926317,baseline,alpha,0.05,-0.3460000902842762
9581792,2020-03-01,926317,baseline,alpha,0.1,-0.3416333150478486
9581792,2020-03-01,926317,baseline,alpha,0.25,-0.3192202402282474
9581792,2020-03-01,926317,baseline,alpha,0.5,-0.09615500789830012
9581792,2020-03-01,926317,baseline,alpha,0.75,-0.0033594303812968795
9581792,2020-03-01,926317,baseline,alpha,0.9,0.0993803534095841
9581792,2020-03-01,926317,baseline,alpha,0.95,0.23369551205479228
9581792,2020-03-01,926317,baseline,alpha,0.99,0.7678762792220456
9581792,2020-03-01,926317,baseline,excess_return,0.01,-0.1959105231308128
9581792,2020-03-01,926317,baseline,excess_return,0.05,-0.15222170136274696
9581792,2020-03-01,926317,baseline,excess_return,0.1,-0.15142194054410074
9581792,2020-03-01,926317,baseline,excess_return,0.25,-0.13841008407476785
