block_number,date,optimisation,token_group,mean_dist,median_dist,std_dist
9581792,2020-03-01 00:00:00,max_sharpe,gte5,58.08455971743205,57.92962072194341,23.54914238072129
9581792,2020-03-01 00:00:00,max_sharpe,lt5,30.25646782314378,22.694241548659427,31.37711289382296
9581792,2020-03-01 00:00:00,safer_risk,all,9.098353194437266,6.788111392430629e-08,18.03381857001436
9581792,2020-03-01 00:00:00,safer_risk,gte5,41.97888992829852,41.878649107785115,19.01945806391996
9581792,2020-03-01 00:00:00,safer_risk,lt5,6.260386921564768,6.788111253652751e-08,14.855935201755415
9782602,2020-04-01 00:00:00,better_return,all,45.918813401522826,52.463373542587675,33.76127084598188
9782602,2020-04-01 00:00:00,better_return,gte5,54.30082454437039,53.480440597346416,26.90421617125192
9782602,2020-04-01 00:00:00,better_return,lt5,45.191715802490904,52.11954814476155,34.19482155806727
9782602,2020-04-01 00:00:00,max_sharpe,all,46.603227735748916,51.62763649873683,33.05752773554638
9782602,2020-04-01 00:00:00,max_sharpe,gte5,65.94770660737292,69.57843055881155,24.52533938445484
9782602,2020-04-01 00:00:00,max_sharpe,lt5,44.92519081806979,48.48991061782918,33.168400422766204
9782602,2020-04-01 00:00:00,safer_risk,all,9.65744497659911,8.786241872948963e-08,18.168280148177583
9782602,2020-04-01 00:00:00,safer_risk,gte5,43.85502775590306,43.24796511030808,18.903194496591915
9782602,2020-04-01 00:00:00,safer_risk,lt5,6.690975485232047,8.786241734171085e-08,14.747113138863494
9976964,2020-05-01 00:00:00,better_return,all,43.56835083062086,48.211531906336646,33.94134941193625
9976964,2020-05-01 00:00:00,better_return,gte5,54.573362607019384,54.34184600175314,26.141708207826838
9976964,2020-05-01 00:00:00,better_return,lt5,42.65950509841774,46.46617079291013,34.349519231717125
9976964,2020-05-01 00:00:00,max_sharpe,all,43.32139710156203,45.23461033009565,32.31085631343121
9976964,2020-05-01 00:00:00,max_sharpe,gte5,61.768347397626194,62.50286702541567,22.868696259355488
9976964,2020-05-01 00:00:00,max_sharpe,lt5,41.79796101722195,41.71775813891848,32.50532583789051
9976964,2020-05-01 00:00:00,safer_risk,all,9.431286942796119,8.353182034959161e-08,18.160575687895577
9976964,2020-05-01 00:00:00,safer_risk,gte5,43.54547775482553,43.21985489095175,18.877984884934328
9976964,2020-05-01 00:00:00,safer_risk,lt5,6.613976306782916,8.349239979943412e-08,14.95208483365951
10176690,2020-06-01 00:00:00,better_return,all,36.63738145699307,29.799220919856428,34.4582738791045
10176690,2020-06-01 00:00:00,better_return,gte5,52.700131988445825,51.476323767129095,25.60464895300495
10176690,2020-06-01 00:00:00,better_return,lt5,35.35847274074994,24.039242845498688,34.74959852481315
10176690,2020-06-01 00:00:00,max_sharpe,all,28.991426510543523,21.72999394144281,27.854474163249023
10176690,2020-06-01 00:00:00,max_sharpe,gte5,55.62380191715632,55.00546930791297,20.168526740477095
10176690,2020-06-01 00:00:00,max_sharpe,lt5,26.870969184441226,19.500272739178435,27.281692064545148
10176690,2020-06-01 00:00:00,safer_risk,all,8.629428948236955,9.336737702425602e-08,17.47566792866425
10176690,2020-06-01 00:00:00,safer_risk,gte5,42.89472411687941,43.26446806485267,18.706865470940357
10176690,2020-06-01 00:00:00,safer_risk,lt5,5.901242105640684,8.211817614789396e-08,14.174879852851825
