block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
10570485,EOA,7108,90.2832,32547173570.52,54.397,49.8573,4578949.573793518,655915.1371749707,1742405.9894705752,5865615.310429224,59085984.28328902,1051240373.5888653
10771925,CA,976,11.6886,53118673964.16,53.0596,49.0726,54424870.864922926,2529474.650621686,10352257.794622116,53058042.03416917,1099136205.4500957,5475574465.051966
10771925,EOA,7374,88.3114,46992719028.11,46.9404,43.4133,6372758.208314985,955799.3348013517,2463173.2822443647,7573968.469862999,86142389.68316472,2410800162.1036277
10966874,CA,1205,13.8236,40441055991.21,49.2177,44.7349,33561042.316358976,1928565.1230415008,7001258.007608051,37245927.243924305,534861245.12490267,3446106788.6538444
10966874,EOA,7512,86.1764,41726671919.34,50.7823,46.157,5554668.785854718,927303.7920408393,2257077.581583664,6731228.5139892055,71837260.451448,1864861287.4846048
11167817,CA,1134,12.8981,34892939238.42,41.888,37.8345,30769787.688204084,2686167.1776407007,9068179.677887626,35869712.33905796,563382970.7062131,3928948541.7751865
11167817,EOA,7658,87.1019,48407720578.11,58.112,52.4887,6321196.2102526035,1130442.0982759716,2350519.8825236056,7907375.699591489,62362975.07322863,6146413408.435289
11363270,CA,1492,15.8185,43019342732.43,44.5914,39.9913,28833339.632995225,2223839.983562456,7858278.937995948,39905845.015014686,486982793.4305107,4972863135.643035
11363270,EOA,7940,84.1815,53455157232.74,55.4086,49.6926,6732387.560797895,1195109.6394311981,2845840.277902017,7115953.973508975,77995016.61611344,3218458099.431284
11565019,CA,1659,16.7491,49307077645.14,44.1292,39.2987,29720963.016959082,3441862.428050576,11694362.999243176,41436406.455075584,568284365.5527679,3938626713.1184034
11565019,EOA,8246,83.2509,62426330949.29,55.8708,49.755,7570498.538599146,1500032.448771559,3000156.1939013717,9956561.8300355,92789902.08251117,2540461946.4213448
11766939,CA,2099,20.1982,107215187739.65,53.7916,49.2288,51079174.721129276,4063841.213310666,15376272.544464177,63043225.39697423,996629234.9492366,7907487168.752558
11766939,EOA,8293,79.8018,92100586558.05,46.2084,42.2888,11105822.568196071,1852633.7451948004,4768443.71848806,11812528.04480696,161739237.16850832,3973359695.735599
11948960,CA,2382,21.4924,141828118097.31,34.2729,32.1805,59541611.29190263,5144714.98013438,19656149.656024214,89622917.92274375,1165538579.7931921,8614405592.650343
11948960,EOA,8701,78.5076,271992152102.25,65.7271,61.7145,31259872.670066707,2198709.0358456266,6099970.622081551,18136670.610107362,259330864.0236312,60199014633.84188
12150245,CA,2558,21.8055,227642293220.13,41.4527,38.6399,88992296.02038015,8534201.35963516,33563135.66281376,142535552.79914775,1438938765.6015623,10216415216.648232
12150245,EOA,9173,78.1945,321518857583.66,58.5473,54.5745,35050567.707800955,3095130.0926013803,9276616.162035728,29189755.41066837,376297478.02101004,50805976925.17232
12344945,CA,2932,23.3439,268344732292.21,42.7075,39.817,91522759.99052091,8345282.52718381,29702895.814029172,137817212.92850754,1601654649.062373,13340659787.003975
12344945,EOA,9628,76.6561,359986937984.31,57.2925,53.4149,37389586.412994765,3309313.699276311,9701823.313796923,30394219.737949092,422732735.41823727,50805976925.17232
12545219,CA,2720,20.3517,187541899753.83,36.2587,33.6965,68949227.85067102,6914322.598549272,24198338.875890955,101173169.11765014,1205816151.0891633,11190289414.912027
12545219,EOA,10645,79.6483,329691318092.71,63.7413,59.2371,30971471.873434037,4194241.621814151,7277498.470973638,26492599.879065435,291578464.41063005,50805976925.17232
12738509,CA,2651,19.5602,155986297720.88,32.319,30.1614,58840549.87585177,6470684.32556835,21084163.538876176,88571057.04740809,1017522808.81127,6846922335.537414
12738509,EOA,10902,80.4398,326658954602.34,67.681,63.1626,29963213.594050877,4789240.006521178,8877472.694957454,20089191.46853405,233949789.8735568,50805976925.17232
