block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
22820674,EOA,20901407,1068577651904.5629,1058682225313.6106,1065909106243.8297,1067263051151.4513,99.07396279780741,99.75027124552184,99.8769765818358
22820674,CA,122710,14361881453.807467,14052214054.945868,14253853272.578196,14294630978.206903,97.84382429379053,99.24781316725998,99.53174327599861
23042514,ALL,21333620,1310897735224.79,1299210347387.1665,1307815840782.5225,1309401936918.1653,99.10844396755179,99.76490199353812,99.88589511855643
23042514,EOA,21206412,1292706370539.9097,1281322451542.7598,1289713875037.3538,1291239224042.441,99.11937318043886,99.76850926314333,99.88650581981305
23042514,CA,127208,18191364684.882652,17781407654.3144,18040173946.996685,18096684871.768253,97.74641959154975,99.16888732371129,99.47953430237656
23264566,ALL,21822593,1408769476016.0579,1396528750033.3975,1405596131371.7217,1407239131923.6306,99.13110511044883,99.77474351209608,99.89137015541003
23264566,EOA,21693396,1386868715947.4536,1374963044120.5518,1383788618609.4893,1385368003185.7537,99.14154298168242,99.77790995625277,99.89179128893431
23264566,CA,129197,21900760068.60103,21449465755.617916,21728739824.853306,21792601517.289585,97.93936689151656,99.21454669514257,99.50614247645903
23479244,ALL,22083076,1470762844768.6882,1459084598241.0562,1467709894730.6184,1469268732969.8625,99.20597351441329,99.79242404382673,99.89841245961985
23479244,EOA,21953352,1453790534800.3118,1442424747041.111,1450824034641.9868,1452324520088.1133,99.21819632972353,99.7959472092221,99.89915915139728
23479244,CA,129724,16972309968.373045,16560412468.335644,16812257038.44953,16871477441.325937,97.5731205663522,99.05697615573976,99.40589980247236
23700767,ALL,21879708,1449851617580.038,1439365648575.0361,1447120896508.5718,1448492777707.322,99.27675571224978,99.81165513502519,99.90627731443413
23700767,EOA,21751807,1435409650289.2456,1425207946664.7244,1432754473096.082,1434076068440.5337,99.28928277565464,99.81502303592367,99.90709398892204
23700767,CA,127901,14441967290.791336,14072226999.526962,14296056986.051231,14349401940.332123,97.43982046337875,98.98967847106853,99.35905303899813
23914921,ALL,21981863,1326712094417.2568,1317223327740.8818,1324255887872.007,1325480511633.5703,99.2847908211357,99.81486514251394,99.90717030553434
23914921,EOA,21857545,1316193701090.9937,1306936413793.9111,1313801868999.145,1314984049381.5115,99.29666223980489,99.81827658878278,99.90809470456517
23914921,CA,124318,10518393326.261892,10230146408.626862,10403890798.907513,10445196663.427677,97.2595917580364,98.91140667778134,99.30410795105503
