block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
14688630,EOA,14445610,685467765160.3646,673889818971.7605,682003046005.3599,683606475925.3656,98.31094228247254,99.49454674149496,99.72846436702045
14688630,CA,30291,13325212886.143038,12203260480.435356,13063924615.571411,13223097039.223282,91.58022903428127,98.03914374348689,99.23366442403372
14881677,ALL,14348316,545218585985.3936,536180686796.3619,542637780685.9365,543772992901.98145,98.3423347220093,99.52664759313136,99.73485990379444
14881677,EOA,14317974,536406572903.0348,527566345171.21375,533851929670.3271,534970794894.4992,98.35195387633345,99.52374870820805,99.73233400165752
14881677,CA,30342,8812013082.35805,8097562108.787992,8642227864.583418,8745020557.820206,91.8923069349453,98.07325277223491,99.23975913435756
15053226,ALL,14282552,429320795543.43054,421705966711.72955,427199654331.0526,428104860177.77075,98.22630794716984,99.5059309415252,99.71677696997635
15053226,EOA,14252488,422938388460.981,415471597100.5952,420836441438.90515,421730030713.01276,98.23454395153003,99.50301342242199,99.71429461573224
15053226,CA,30064,6382407082.44982,5931687747.074899,6278434022.726952,6341850063.409344,92.93809796911424,98.3709428374011,99.36454979263233
15253306,ALL,14424554,524370455258.2999,515208328474.03357,521916408883.70087,523023265107.36005,98.25273779397942,99.5320014028269,99.74308427611997
15253306,EOA,14392299,516295262571.6033,507323650422.9263,513868063194.8423,514957731210.02856,98.26230980621621,99.52988153238684,99.74093673551978
15253306,CA,32255,8075192686.6963215,7490058359.693813,7938240371.706232,8020647497.292452,92.7539273710892,98.30403656849309,99.32453389633994
15449618,ALL,14177697,443443921555.8735,434376289200.4448,441122853073.58124,442183404618.374,97.95517946810189,99.47658128357054,99.7157437781362
15449618,EOA,14144087,434913617492.1242,426027491354.4113,432618962260.25336,433662611416.1614,97.9568066438219,99.4723882767565,99.71235527570359
15449618,CA,33610,8530304063.748777,8029417651.873541,8412564157.973024,8483056785.831485,94.1281528989822,98.61974549915388,99.44612434018525
15649595,ALL,14264052,491187654140.1653,482566629009.19257,489076194827.02765,490063149605.0481,98.24486119341415,99.57013184363646,99.77106416954115
15649595,EOA,14228648,482932422626.0138,474479355139.3929,480846285504.1145,481816867076.06116,98.24963761168569,99.56802711432056,99.7690037989401
15649595,CA,35404,8255231514.151548,7829991966.319247,8157048343.372813,8215605982.468781,94.84884770217124,98.8106551510951,99.51999490729196
15871480,ALL,14370301,505843759312.9376,496723754958.09875,503570753432.41296,504633570888.9719,98.1970708965104,99.55065060333808,99.7607584552176
15871480,EOA,14330903,497722945617.874,488785749881.81976,495480741764.623,496523475063.303,98.20438341958304,99.5495076381364,99.75900838706923
15871480,CA,39398,8120813695.063523,7680609770.964,8020109088.628184,8078132894.983737,94.57931260795807,98.75991975414293,99.47442705026306
16086234,ALL,14442579,443132602803.2523,434195953407.13727,441027754862.388,442048753921.2256,97.98330130990546,99.5250072038146,99.75541206510867
16086234,EOA,14402074,436991448381.1219,428219563425.54584,434914018644.21216,435917169128.531,97.99266439009908,99.52460631790262,99.75416469668443
16086234,CA,40505,6141154422.129654,5788463912.408365,6062139428.165947,6108020230.104094,94.25693468233972,98.71335275857946,99.46045662186637
16308190,ALL,14057305,382749359979.3234,374049692033.6755,380920966523.5661,381895503867.5837,97.72705878695187,99.52230006188486,99.77691507784994
16308190,EOA,14014440,377369503746.84106,368828872278.23145,375568051384.61145,376524912447.4595,97.73679871218764,99.52262905604633,99.7761898375476
16308190,CA,42865,5379856232.48297,5080126660.809488,5311811310.758473,5350789081.388336,94.4286694900182,98.73519070428594,99.45970394303235
16530248,ALL,14390008,454177962546.2716,443546005163.40686,451833704771.6102,453104135647.0087,97.65907678055129,99.48384598814116,99.76356693018687
16530248,EOA,14343413,447508165958.19965,437072806360.94556,445199282208.37103,446446646503.1348,97.66811861971054,99.48405773894989,99.7627932771256
16530248,CA,46595,6669796588.071309,6300837760.618871,6587141889.938898,6634181112.620702,94.46821469619766,98.76076133595684,99.46601856622878
16730072,ALL,14383405,482949105476.9602,471683294703.62036,480426905463.13184,481800513364.639,97.66728819960983,99.47775034983502,99.76217118961492
16730072,EOA,14334312,476132559472.15216,465073815341.15155,473647942376.103,474997179490.58405,97.67738124373169,99.47816694182738,99.76154120129344
16730072,CA,49093,6816546004.807716,6441027281.816517,6732890546.291631,6780685519.84779,94.49107036428207,98.77275883626278,99.47392000384602
16950603,ALL,14522032,495132547475.5908,484568647876.7866,492737459696.69714,494046696802.67975,97.86645017527857,99.51627341181569,99.78069495159484
16950603,EOA,14469737,488716139285.9125,478360445814.07404,486360418076.77893,487643745877.7767,97.8810412344946,99.51797761118026,99.7805692667112
16950603,CA,52295,6416408189.679253,6032009433.572159,6328132600.650839,6377322424.158223,94.00912870965104,98.6242211153211,99.39084664869203
17162287,ALL,14792989,468618788622.8227,458253493691.345,466286304257.7836,467545050177.2684,97.7881179365558,99.50226401039237,99.770871661226
17162287,EOA,14736174,462394411846.4514,452240263877.4117,460104013852.81915,461334859934.83203,97.80400720491154,99.50466572801211,99.77085538136407
17162287,CA,56815,6224376776.371633,5867795698.90904,6135135403.138205,6182521875.12262,94.2712163759718,98.56626010218088,99.32756478676069
17382266,ALL,14980545,420406926695.9871,410958565965.5097,418303294106.96747,419429415990.3567,97.75256777885824,99.4996199026614,99.76748463368271
17382266,EOA,14916431,414491576266.6573,405261375377.35803,412434822063.32605,413529343790.1981,97.77312702650413,99.5037886603495,99.76785234452144
17382266,CA,64114,5915350429.3293085,5573902769.113861,5819587098.0249195,5866546392.783835,94.22776952448173,98.38110467928361,99.17495950360787
