block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
10771925,CA,2917,3.5125,53317330819.7,50.2583,49.2561,18278138.77946633,142262.37358753796,899944.7984957262,7922651.397324519,345674393.1223305,5475574465.051966
10771925,EOA,80130,96.4875,52769375721.62,49.7417,48.7499,658547.0575517118,62053.44259925504,116896.92686863952,349345.34119017667,6725482.793437929,2410800162.1036277
10966874,CA,3763,4.3172,40676811880.03,46.1322,44.9957,10809676.290202284,115782.70591293323,711371.9815058939,5153630.118188011,174938483.84848624,3446106788.6538444
10966874,EOA,83399,95.6828,47497633784.02,53.8678,52.5407,569522.8214250021,57952.50323734532,114540.78437436861,327377.3421277055,6019596.762557827,1864861287.4846048
11167817,CA,3998,4.5472,35246354217.99,39.0772,38.2177,8815996.552773906,132981.19091727416,787509.1463628013,4658889.763204599,164531663.28718054,3928948541.7751865
11167817,EOA,83924,95.4528,54950370713.62,60.9228,59.5829,654763.4849818884,55479.863817501704,123167.95144944888,520998.9061014168,6924427.891259715,6146413408.435289
11363270,CA,4678,4.9598,43417603094.87,41.3917,40.3615,9281231.957005573,161967.77179813985,920133.8288395725,5460712.166339562,147331942.70034215,4972863135.643035
11363270,EOA,89641,95.0402,61476774985.13,58.6083,57.1495,685810.9010958448,68262.67392022461,149185.88233402994,461014.75777024927,6298474.391977894,3218458099.431284
11565019,CA,5423,5.475,49961912075.65,40.8159,39.8206,9212965.531192118,210468.97666368444,1136542.146671385,7264763.901008597,160806770.585172,3938626713.1184034
11565019,EOA,93627,94.525,72446095510.74,59.1841,57.7409,773773.5430029598,79718.60381682997,158297.94075830813,641567.0587191038,8340078.296298666,2540461946.4213448
11766939,CA,6677,6.4253,108106402967.82,50.746,49.638,16190864.605035452,242802.2036055089,1408395.1724518815,9568985.134197546,276729431.4581034,7907487168.752558
11766939,EOA,97240,93.5747,104927727063.27,49.254,48.1785,1079059.307520295,91556.38207251558,223160.8230075015,685279.3058055778,9962042.11369061,3973359695.735599
11948960,CA,7072,6.3813,143009580167.03,32.9817,32.4486,20221942.896920975,348171.75343902025,2061341.8202159344,14152392.363456653,320459772.80626774,8614405592.650343
11948960,EOA,103751,93.6187,290592625404.52,67.0183,65.9349,2800865.778686662,139574.2633058865,286711.48003463744,855225.7884544645,14005398.695692256,60199014633.84188
12150245,CA,7947,6.7746,229724094062.31,39.7572,38.9933,28907020.770393215,504059.4563308915,2878282.725732171,21444704.956336245,516618574.2258385,10216415216.648232
12150245,EOA,109359,93.2254,348094110435.04,60.2428,59.0853,3183040.3573098206,176701.08294197757,352519.54508073535,1339535.7515731899,23938711.657192003,50805976925.17232
12344945,CA,9540,7.5958,270825418397.51,40.9823,40.1851,28388408.637055174,442176.2143827529,2625076.664865328,19444791.90177233,538985880.6945053,13340659787.003975
12344945,EOA,116056,92.4042,390008864371.21,59.0177,57.8695,3360523.0610326836,193292.66896840167,396303.26377958053,1317851.084582403,23986823.731934775,50805976925.17232
12545219,CA,10307,7.7124,190098023507.31,34.8313,34.1557,18443584.312341653,338882.92561973986,1828371.6043286128,11906920.425538858,309780444.36893624,11190289414.912027
12545219,EOA,123335,92.2876,355669568820.91,65.1687,63.9047,2883768.344921608,148701.13306865154,314951.1787774783,1269064.4337344626,21946755.67584094,50805976925.17232
12738509,CA,10845,8.0022,158384854373.32,31.1475,30.6252,14604412.574764188,266159.85224988265,1394210.9065752493,9262575.34526907,258592265.0834005,6846922335.537414
12738509,EOA,124680,91.9978,350115058271.29,68.8525,67.6981,2808109.2257883144,126901.1192986002,296106.92043765855,1163632.0494421301,17770327.07345651,50805976925.17232
12936340,CA,11000,7.8181,197269569967.06,38.9934,38.2803,17933597.269732684,328674.6551174556,1727712.371843243,11000496.79196812,297052193.7818831,9140955335.9631
12936340,EOA,129699,92.1819,308635095382.54,61.0066,59.8909,2379625.8674510857,161392.90482185845,367749.9991849415,1420280.8336248572,20353208.715301257,14179804071.324558
13136427,CA,11606,7.8989,290751111627.59,40.2351,39.5266,25051793.178321116,426409.0543997452,2327576.6865212307,14650085.49126012,430170502.5087011,15412440358.494268
13136427,EOA,135325,92.1011,431879293176.33,59.7649,58.7125,3191422.82044215,185911.21943451208,402672.89748352184,1551900.29789305,29029748.20489708,29061493148.72054
13330090,CA,11738,7.7382,275113648784.67,34.7066,34.1686,23437864.098199606,402644.9704201494,2075038.9203162852,13409021.28585189,408909841.0477838,15809260247.53129
