block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
10570485,ALL,10K–100K,75861,0.9636,2651539954.147994,4.0618
10570485,ALL,1K–10K,217952,2.7685,696240356.44751,1.0665
10570485,ALL,1–100,4293562,54.5384,53946703.807801,0.0826
10570485,ALL,>100K,19767,0.2511,61695888775.58301,94.5087
10570485,CA,0–1,94118,59.5548,14311.574705,0.0001
10570485,CA,100–1K,14549,9.2061,4834888.002642,0.0176
10570485,CA,10K–100K,1591,1.0067,51788095.456451,0.1889
10570485,CA,1K–10K,4099,2.5937,13226274.154041,0.0482
10570485,CA,1–100,42536,26.9154,952698.063322,0.0035
10570485,CA,>100K,1143,0.7233,27350501359.98355,99.7417
10570485,EOA,0–1,2666185,34.5606,491043.784447,0.0013
10570485,EOA,100–1K,490559,6.3589,177658392.344898,0.4693
10570485,EOA,10K–100K,74270,0.9627,2599751858.691544,6.8669
10570485,EOA,1K–10K,213853,2.7721,683014082.29347,1.8041
10570485,EOA,1–100,4251026,55.1042,52994005.744479,0.14
10570485,EOA,>100K,18624,0.2414,34345387415.599457,90.7185
10771925,ALL,0–1,2792041,33.6203,507751.265567,0.0005
10771925,ALL,100–1K,744981,8.9707,280028002.615189,0.2587
10771925,ALL,10K–100K,105743,1.2733,3495408961.626206,3.2292
10771925,ALL,1K–10K,351679,4.2347,1090198189.758138,1.0072
10771925,ALL,1–100,4284100,51.5869,61732307.712772,0.057
10771925,ALL,>100K,26088,0.3141,103317190139.05167,95.4475
10771925,CA,0–1,100804,56.1651,16100.019705,0.0
10771925,CA,100–1K,19682,10.9662,6708745.761666,0.0126
10771925,CA,10K–100K,2192,1.2213,75462009.802932,0.1414
10771925,CA,1K–10K,5271,2.9369,17401142.29341,0.0326
10771925,CA,1–100,49899,27.8023,1119975.220842,0.0021
10771925,CA,>100K,1630,0.9082,53255240399.54041,99.8113
10771925,EOA,0–1,2691237,33.1223,491651.245862,0.0009
10771925,EOA,100–1K,725299,8.9266,273319256.853522,0.4979
10771925,EOA,10K–100K,103551,1.2744,3419946951.823274,6.2306
10771925,EOA,1K–10K,346408,4.2634,1072797047.464729,1.9545
10771925,EOA,1–100,4234201,52.1123,60612332.49193,0.1104
10771925,EOA,>100K,24458,0.301,50061949739.51132,91.2056
10966874,ALL,0–1,2805841,32.1914,412572.885227,0.0005
10966874,ALL,100–1K,887971,10.1877,328404677.381112,0.3633
10966874,ALL,10K–100K,102038,1.1707,3305628236.280406,3.6566
10966874,ALL,1K–10K,441572,5.0662,1245767851.261538,1.378
10966874,ALL,1–100,4451228,51.069,58913238.600797,0.0652
10966874,ALL,>100K,27462,0.3151,85462474816.29631,94.5365
10966874,CA,0–1,106203,55.106,15604.962674,0.0
10966874,CA,100–1K,20731,10.7568,6910336.165205,0.017
10966874,CA,10K–100K,2717,1.4098,94097634.042852,0.2311
10966874,CA,1K–10K,6901,3.5807,21589918.739776,0.053
10966874,CA,1–100,54177,28.111,1206299.914655,0.003
10966874,CA,>100K,1996,1.0357,40595853937.802734,99.6959
10966874,EOA,0–1,2699638,31.6733,396967.922553,0.0008
10966874,EOA,100–1K,867240,10.1748,321494341.215908,0.6471
10966874,EOA,10K–100K,99321,1.1653,3211530602.237554,6.4642
10966874,EOA,1K–10K,434671,5.0997,1224177932.521763,2.464
10966874,EOA,1–100,4397051,51.5881,57706938.686142,0.1162
10966874,EOA,>100K,25466,0.2988,44866620878.493546,90.3077
11167817,ALL,0–1,2924954,33.269,488824.111472,0.0005
11167817,ALL,100–1K,738164,8.396,269255395.845921,0.292
11167817,ALL,10K–100K,109505,1.2455,3457620542.573016,3.7491
11167817,ALL,1K–10K,327758,3.728,1018874214.818981,1.1048
11167817,ALL,1–100,4665213,53.063,56072858.530587,0.0608
11167817,ALL,>100K,26246,0.2985,87422804305.5288,94.7928
11167817,CA,0–1,114253,54.6145,16499.55611,0.0
11167817,CA,100–1K,24062,11.502,8250629.601779,0.0234
11167817,CA,10K–100K,2700,1.2906,96783193.160972,0.2743
11167817,CA,1K–10K,6281,3.0024,20342831.429658,0.0576
11167817,CA,1–100,59659,28.5178,1291928.859603,0.0037
11167817,CA,>100K,2244,1.0727,35162988914.24643,99.641
11167817,EOA,0–1,2810701,32.7487,472324.555362,0.0008
11167817,EOA,100–1K,714102,8.3203,261004766.244142,0.4584
11167817,EOA,10K–100K,106805,1.2444,3360837349.412045,5.9029
11167817,EOA,1K–10K,321477,3.7457,998531383.389323,1.7538
11167817,EOA,1–100,4605554,53.6613,54780929.670984,0.0962
11167817,EOA,>100K,24002,0.2797,52259815391.28233,91.7878
11363270,ALL,0–1,3079490,32.6498,577734.940905,0.0005
11363270,ALL,100–1K,759092,8.0482,266146670.085558,0.2474
11363270,ALL,10K–100K,136266,1.4447,4219400476.288718,3.9224
11363270,ALL,1K–10K,356382,3.7785,1176315050.734669,1.0935
11363270,ALL,1–100,5066953,53.7216,62892240.68801,0.0585
11363270,ALL,>100K,33692,0.3572,101846432848.47824,94.6777
