block_number,block_date,n_wallets,mean_alpha_baseline,median_alpha_baseline,frac_positive_alpha_baseline,mean_alpha_better_return,median_alpha_better_return,frac_positive_alpha_better_return,mean_alpha_safer_risk,median_alpha_safer_risk,frac_positive_alpha_safer_risk,mean_alpha_max_sharpe,median_alpha_max_sharpe,frac_positive_alpha_max_sharpe,mean_alpha_equal_weight,median_alpha_equal_weight,frac_positive_alpha_equal_weight,mean_alpha_mcap_weight,median_alpha_mcap_weight,frac_positive_alpha_mcap_weight
11167817,2020-11-01,1233035,-0.1325826126921885,-0.21228486185946693,0.1801716901791109,0.11292363498615929,-0.20871396078091126,0.19419643400227893,-0.07838139520932098,-0.19919841146106304,0.18212783903133326,0.044019454759850904,-0.1731229039496281,0.2204584622496523,0.05426531219474043,-0.1955297886266461,0.15766949032265912,-0.17452148041937685,-0.20650141828396495,0.19165230508460832
11363270,2020-12-01,1312844,0.12200763491583361,0.03327254663409964,0.5794336570072302,0.10757177418326688,0.0004958257286650988,0.5017755346408256,0.1167338800792072,0.03518083304450728,0.6122555307408953,0.12425039176385956,-0.009296973789649457,0.46735484185478243,0.09838414782022388,0.03824899271937697,0.6376271666702213,0.060034694655503984,0.01321726585161113,0.5925022317960092
11565019,2021-01-01,1344924,0.1443859375499601,0.04350596070436297,0.6953136385401703,0.15398094350677755,0.08808720621557886,0.6403499379890611,0.13785278677865884,0.05945934099314404,0.7169304733947792,0.17401746731438086,0.05945934091304056,0.6645594844020926,0.14330772876175066,0.12323416164063766,0.6819418792437342,0.15918030411418532,0.12298072298878682,0.7453989965232236
11766939,2021-02-01,1421979,0.6284564408549103,0.2554214232974858,0.8159304743600292,0.717022917929571,0.2776850027284858,0.8353337144922675,0.6495855913797357,0.25752726112871,0.850276973147986,0.6935837851688237,0.2776850027284858,0.8206808961313775,0.730153419977796,0.40424695695240204,0.8731169728948177,0.5724892460870975,0.2766083291452338,0.8312049615360002
11948960,2021-03-01,1578989,1.1728100007925737,0.24592137137078754,0.7153925708158828,1.235332553210071,0.35005372169419424,0.7507791377900669,1.1229906644854644,0.3418188844912888,0.7641497185857533,1.0336836249026016,0.4036154447178101,0.7525169586361906,1.0345139546237447,0.4344730041080459,0.7864563970996631,0.8126356902305825,0.14708837513875264,0.7155692661570157
12150245,2021-04-01,1695563,0.06192213599645623,-0.00022775089275072237,0.4980021385227208,0.06886236855553457,-0.046181617776124395,0.40765161778123254,0.05709036460353666,0.0006944666232557954,0.5078425278211426,0.05729933709207178,-0.02232516057917225,0.3823272859811166,0.0608162829722067,-0.029084590836541385,0.41990831363977627,0.0351146526500874,0.028896181733178476,0.5812836208386241
12344945,2021-05-01,1822425,0.004704596757652912,-0.10721104873930859,0.2790677256951589,-0.0070422502809887304,-0.11114748353031803,0.23183999341536687,0.004869300650840322,-0.09945830062587926,0.262974333648847,0.007439177367212445,-0.1157419402981485,0.24465533561051894,-0.017821895220861146,-0.09830795920895513,0.2552933591231464,0.028797705270660067,-0.0710907462331111,0.2970103022072239
12545219,2021-06-01,1944649,0.08576623274476128,0.028594847268080904,0.6551588487176864,0.10252948184986026,0.033616936284650845,0.6519485007320087,0.0975253879598001,0.03340520770833891,0.6642350367598472,0.11408990476244402,0.021810090219935463,0.6438020434536001,0.11592976995496103,0.03879813155756437,0.6609460113367502,0.08405568662010139,0.019004237520905704,0.6820958435172619
12738509,2021-07-01,2077642,0.030625084676763066,0.016625363122945325,0.6285457263570914,0.050061881614003156,0.01750985775878444,0.6418603397505441,0.03354252668756213,0.012156909689937056,0.6165701309465249,0.06390646644211578,0.012710934257013917,0.6697713080501838,0.04303418840837805,0.02107941399413321,0.6369884705834787,0.03728143284523195,0.009785651097393655,0.690049585058446
12936340,2021-08-01,2186002,0.09739773665448748,0.019114188792134112,0.5517561283109531,0.11925015743195465,0.06205383603826335,0.6381215570708535,0.10939726981860909,0.030953283824091987,0.5816847377083827,0.09986201089751344,0.030953283824091987,0.5934152850729322,0.13510379325062286,0.09133950608445832,0.7026096041998132,0.08312367153613959,0.009135387218407454,0.5746842866566453
13136427,2021-09-01,2286203,640012.8269233934,-0.0008680344311855492,0.4639697349710415,9.246132079162316e+31,-0.009153402685383859,0.42701719838527025,8.491141446673199e+31,-0.005049734992944068,0.445883851958903,1.1748133311044801e+32,-0.016773646842986933,0.43047402177321964,1.2029625898937283e+32,-0.003886619902842138,0.4574501914309447,0.07107545088877014,-0.0022800014297666964,0.4673775688335638
13330090,2021-10-01,2385506,0.12523974844723207,-0.011009213401563241,0.44089304323694845,0.03447731307482751,-0.025449662577991153,0.41098659990794406,0.10424556571150287,-0.010186805264825082,0.4421246477686495,0.06486265865185473,-0.023209569494895804,0.3339048403148011,0.0698181300100196,-0.0229272625480052,0.420247528197372,0.15978785816210048,-0.008979188330575809,0.4252058053930696
13527859,2021-11-01,2504425,0.20719249132140344,0.009035116819239946,0.599300038931092,0.1546435454382959,0.01711554051642467,0.5923415554468591,0.19591973271016025,0.01694025681680768,0.601828363796081,0.12567860553116023,0.0040874944934732186,0.574430857382433,0.19210953896742924,0.03767287026911124,0.6358753007177296,0.1725217037363835,0.0043373225361935976,0.6129626560987053
13717847,2021-12-01,2579086,258495858.279993,-0.13392981004132154,0.2008308369709269,4.6107084824689807e+21,-0.13890878075501725,0.17156543054399892,4.267526882431855e+21,-0.12999219554761823,0.1777284665963058,1.4293465274763497e+21,-0.15377979237776482,0.17172362612181213,7.944281365323176e+21,-0.12635198274118464,0.16219583216689942,-0.07390188248790101,-0.08760472787564524,0.25259646246771145
13916166,2022-01-01,2621359,0.041413980644228375,0.0014555796795080373,0.5216439259178159,0.20250750447826954,-0.0007246950280852611,0.4824055003530611,0.13577760681188616,0.00019071976828993883,0.5035060058542153,0.11062112926533063,0.0007350958896369885,0.5213921481185904,0.26333656106526654,-0.0034909256567021707,0.43642324458420234,0.011485006278041542,-9.493669145090099e-05,0.49301640866436075
14116761,2022-02-01,2755033,114.33001837253985,-0.025870020926264642,0.3429222081913356,21736.629026298393,-0.027562608660607016,0.32322807022638206,4867.573674801963,-0.01768149918041485,0.33984819782557957,23726.657020917755,-0.02172000556663663,0.3044765706980642,11958.287609170122,-0.019398838470331674,0.32200049872360875,-0.003968303317968989,-0.006407829830831763,0.35273443185617015
14297759,2022-03-01,2928345,0.06305617762552229,0.05948694373424923,0.7299146787690658,0.057378356655947364,0.04087990936147561,0.6907369179519489,0.06029192372316858,0.05223390874012555,0.7273272104209033,0.04199366326528824,0.016280099092317823,0.625784188679954,0.05896928686993907,0.053442503606979455,0.7330693617043074,0.05701515106884922,0.036978571459358456,0.7041386858447348
14497034,2022-04-01,2934000,-0.06076187806429799,-0.06887674831430374,0.19063258350374915,-0.05805553147646515,-0.06611550957298351,0.16383231083844582,-0.05493339885610991,-0.05858355064984126,0.16336912065439674,-0.050331335439303196,-0.045285084266442344,0.17370211315610087,-0.05748367653840343,-0.06904993615097127,0.16305589638718473,-0.05587586617339848,-0.03901775978220308,0.15312269938650308
14688630,2022-05-01,3002002,35268.72296585368,-0.04984782591088181,0.32271097754098765,4.4691347864664195e+27,-0.057436652957176176,0.26518703185407605,3.3056521133284576e+27,-0.05813090729435833,0.24688424591322725,5.107179536612706e+27,-0.04038751945037154,0.3051267121074536,3.8139027762977256e+27,-0.08187394524079367,0.15715779003478345,0.03090207084416046,-0.016002788562293313,0.34149844004101265
