block_number,block_date,n_wallets,mean_l1_gap_better_return,median_l1_gap_better_return,std_l1_gap_better_return,mean_l1_gap_safer_risk,median_l1_gap_safer_risk,std_l1_gap_safer_risk,mean_l1_gap_max_sharpe,median_l1_gap_max_sharpe,std_l1_gap_max_sharpe,mean_l1_baseline_vs_equal,median_l1_baseline_vs_equal,std_l1_baseline_vs_equal,mean_l1_baseline_vs_mcap,median_l1_baseline_vs_mcap,std_l1_baseline_vs_mcap,mean_l1_better_return_vs_equal,median_l1_better_return_vs_equal,std_l1_better_return_vs_equal,mean_l1_safer_risk_vs_equal,median_l1_safer_risk_vs_equal,std_l1_safer_risk_vs_equal,mean_l1_max_sharpe_vs_equal,median_l1_max_sharpe_vs_equal,std_l1_max_sharpe_vs_equal,mean_l1_better_return_vs_mcap,median_l1_better_return_vs_mcap,std_l1_better_return_vs_mcap,mean_l1_safer_risk_vs_mcap,median_l1_safer_risk_vs_mcap,std_l1_safer_risk_vs_mcap,mean_l1_max_sharpe_vs_mcap,median_l1_max_sharpe_vs_mcap,std_l1_max_sharpe_vs_mcap
11167817,2020-11-01,1233035,0.7009583751099961,0.4646923400369197,0.6824908836800619,0.22036150003186722,2.718566871617867e-09,0.42229519376094393,0.9877520361002763,1.2492889436434178,0.7043053414823812,0.755500381071462,0.8,0.2868896318853171,0.7213265563638775,0.7444495305599746,0.5154289843908191,0.7315401041478121,0.8,0.3191066619192414,0.6720982428400001,0.7999999838329326,0.25456883856595464,0.949439668593673,0.8,0.23379468611038112,0.8170617195473884,0.8283898523747495,0.5186381886746672,0.7439398394640797,0.7716101480378039,0.5070811862384352,0.8784563247619821,0.8283898519621964,0.625417221881342
11363270,2020-12-01,1312844,0.6690122224516802,0.39648490150116333,0.6943729386250838,0.21232276798217986,2.2266212901245197e-09,0.4073693292848246,0.963605047668619,1.064343984693729,0.6614641085486017,0.7489120589388648,0.8,0.2919771253755171,0.7452442675693475,0.7383192707757724,0.5304278603274288,0.7280285385333255,0.8,0.31194496134892996,0.6780964437744529,0.7999999930142656,0.25980750499058786,0.8851166884976686,0.8000000000000004,0.29405792946890696,0.7980723853770622,0.6433294761541934,0.5310738116948813,0.7447940401540372,0.7667735061535459,0.5027617395070854,0.8402628363833404,0.725527310052492,0.5761745257006812
11565019,2021-01-01,1344924,0.6906016664308052,0.4654736072300176,0.6794918125152539,0.20351118455113676,1.7293737553103483e-09,0.40392478042570407,0.7075110030168367,0.62766499134379,0.6503620034486985,0.7460644586475855,0.8,0.28654511860929593,0.7305082629796366,0.7270939351500367,0.518609565433137,0.7034343624010407,0.7999999999614347,0.30593293680391015,0.6817152068655045,0.7999999952334388,0.2612044935076544,0.8248543804446763,0.8,0.2955632401149945,0.8863348381617655,0.7626954195794665,0.5269941897082906,0.7326952623857539,0.7605857375194065,0.49465243525231084,0.9144691307100481,0.8579748930563798,0.5602675355277403
11766939,2021-02-01,1421979,0.5905593393504915,0.4284054575636521,0.5945131363329541,0.19363773097884732,1.814513761466685e-09,0.3805384797317153,0.713984140483516,0.5417020317895527,0.5707747080209241,0.7515608719480482,0.8,0.28478197491299456,0.7157286053992654,0.6854488838130404,0.5240522739923565,0.6469330197791514,0.6895900509040769,0.31685905398930064,0.6796475682643075,0.7999999952020682,0.26683673936928615,0.7345963560200813,0.8,0.29899983017928844,0.8089266413393227,0.7369068844029213,0.5515980765530837,0.704064060232894,0.6854488838130401,0.4904192337891007,0.7781351705298615,0.6390720663404402,0.5734438961920364
11948960,2021-03-01,1578989,0.47318875822056256,0.14821748697242998,0.5900726110603499,0.18546054741248574,9.197039185782074e-09,0.35970455618701597,0.7213471691118716,0.6922384009838288,0.5023554797096704,0.7418866674554832,0.8,0.28772408067434135,0.7455850329875328,0.7050073183298355,0.5321044752397116,0.6654403193468642,0.7665127419464783,0.30277471863089866,0.6614760277462544,0.7901915476094903,0.26458368141540883,0.5614468094580634,0.6666666666666666,0.33681824030058316,0.8350999784555644,0.7050073187574175,0.5235993062289006,0.7245326596157132,0.7050072869061783,0.49706785608170634,0.7690427970487148,0.7036804611496439,0.5585405366758863
12150245,2021-04-01,1695563,0.6580311316941777,0.4129343128079327,0.6570361100820593,0.20480609531198904,5.319131524128551e-09,0.38925196076107993,0.7631054720338234,0.7372632574752895,0.5219851602682717,0.7196603038104146,0.8,0.29971095552362076,0.7344178394214069,0.5868913127955415,0.5427470738942854,0.637190196720808,0.7675064300156431,0.3232920010674922,0.6426505896376004,0.7702545969779093,0.27177382407766076,0.5752029357277231,0.6666666666666667,0.3691066172325234,0.9747072599433001,1.0056517837847152,0.5257162903488943,0.7228897721270426,0.6158412042113575,0.5119131662377396,0.9159719139742897,0.8446134854920784,0.5546178507856535
12344945,2021-05-01,1822425,0.44270782542367065,0.05972438641050898,0.5787136492401393,0.21123031658729197,1.7658060846859058e-09,0.39543140139700467,0.7463467457883387,0.6791786860344715,0.5591336763176902,0.7066510578806346,0.8,0.3145168917833733,0.7283896785216358,0.5941664019723985,0.5540037666241477,0.6459252905396888,0.7590805911521161,0.32560704104952604,0.6364982892784998,0.7699543599339225,0.2856692702179418,0.709247100399939,0.7999999999999998,0.30771731391657847,0.8097442227172515,0.7580457882435224,0.5429514134178958,0.7058208665673132,0.6109472581171755,0.512829826790372,0.8534114370024329,0.8271654816300849,0.5711813905996664
12545219,2021-06-01,1944649,0.4828449151127049,0.16540851684659924,0.6006478211267847,0.22584089262093712,1.920357484141988e-09,0.4299499668947837,0.7858721474481053,0.6987198213919398,0.6881459680812104,0.7151070654138058,0.8,0.3053170594019466,0.7102113496894676,0.5944165364168308,0.5676714129774122,0.7139223839858811,0.7999999999999998,0.34386790427444164,0.6737054360727407,0.7999999844514238,0.28954130050516047,0.9524441428487985,0.8,0.26042650083398766,0.7794237714004127,0.7462118373346416,0.5625841124167352,0.700817977635989,0.6128705255380708,0.5427851213329153,0.6591604293258365,0.40345186190750704,0.6134955398070471
12738509,2021-07-01,2077642,0.5932598653949039,0.3809751325191868,0.6226504703085871,0.2506391258150084,3.321497826780373e-09,0.463810737438804,0.9880964698106969,1.1721455871800035,0.6795159649873882,0.7214172863665101,0.8,0.3063240649317262,0.732394755727617,0.5886932887367651,0.5613199870177341,0.6790660906204021,0.7227363780655501,0.3794403982220092,0.680623933038587,0.7999999691639657,0.28953250078447546,0.9713404335664192,0.8000000000000005,0.2529417063487783,0.8923174944099153,0.935513812390268,0.5188770314106991,0.7349535314686565,0.6242450999553533,0.5440734034702807,0.78558017566968,0.6608011912577733,0.6254357879987549
12936340,2021-08-01,2186002,0.5954148076458998,0.36584182962760536,0.6185262247267924,0.2561535113979838,6.0051956324302935e-09,0.4618836734466112,0.9674853054500006,1.1207434972242454,0.6832647157533875,0.7274428428609141,0.8,0.307349542363848,0.7399854276536919,0.6246665418192008,0.5679939836309523,0.679663689453943,0.7639781358287117,0.36445274539043715,0.6764212204135885,0.7999997114991146,0.28603687848024734,0.9715735556265386,0.8000000000000003,0.25633570234585196,0.904603736332724,0.929631412602594,0.5332338589053808,0.7317334491781239,0.6488954970995047,0.5400048229918122,0.9567770100957094,0.9689035278756745,0.6555954965447572
13136427,2021-09-01,2286203,0.624217070128734,0.4656469980481375,0.6341460428682533,0.22407505795211521,2.229531281816577e-09,0.40509653997829226,0.885912228645454,0.8818800780196008,0.6252957878932014,0.7218794845065076,0.8,0.3095022166480787,0.7605590162350321,0.644480993402683,0.5646555960538274,0.6557492466261716,0.7604861485323275,0.3436651148309692,0.654187384095105,0.771225226351614,0.27974724081872043,0.817943514652341,0.8,0.2700845742696026,0.9648016827707087,0.9409137992017725,0.5254529463993806,0.7424133601707209,0.6602699965061913,0.5263159618444465,1.0064220058324955,1.0356344249010472,0.5847411385783119
13330090,2021-10-01,2385506,0.6199837946024259,0.40246233387026953,0.6365190697850552,0.24100787967510826,1.8965267412074382e-09,0.4326666181465154,0.9354626143909843,1.023678253797052,0.6583357576352762,0.728322801133822,0.8,0.3099297218308626,0.7413544376313093,0.6172268794700372,0.5698573530774552,0.6735876355121714,0.7189471440411962,0.33222678711970094,0.667780152575791,0.7999999523761265,0.2852938403823723,0.9139504330361878,0.8,0.25921566127243245,0.9433942243473529,0.9519679377587205,0.5397059652196435,0.7217094566717078,0.6276894145803336,0.5338232334957196,0.9190569863942557,0.9053999169921274,0.6310558279528938
13527859,2021-11-01,2504425,0.5852862563605281,0.30182896570535117,0.6472764943381887,0.23606274905159608,1.9867940070916745e-09,0.42742166475768834,0.8754197676593648,0.8951543312329615,0.6688574381552624,0.7354350301085126,0.8,0.3083166766804321,0.7369609649828495,0.6122009741519722,0.5774992801643822,0.7061189240126937,0.7999999999999998,0.3342837545852894,0.6744448833782148,0.7999999956443202,0.2892261002012236,0.9165810418174315,0.8000000000000003,0.2680524398827872,0.9116864612218949,0.8851397567009447,0.5656849206860488,0.7172307173345968,0.6337109451183559,0.5391089374631756,0.9063149657444457,0.8586379483494961,0.6217600485389846
13717847,2021-12-01,2579086,0.44322446069739047,0.1167360027963221,0.5610703379560611,0.21510850499554623,2.121136155608383e-09,0.39852324450071563,0.7645644198500131,0.712117110185964,0.6309507622733355,0.7254220982011164,0.8,0.30730035672097084,0.7374738161549748,0.6276385606604121,0.5869683499556985,0.650908422034855,0.7570924885509072,0.337063162033321,0.6607673385847953,0.7739824080247846,0.2817112924860431,0.8270950883458712,0.8,0.27147856639373663,0.8148785603439059,0.7838202768368676,0.572997560731561,0.7143480321663843,0.6345639361631481,0.5508328974210228,0.9206828140322106,0.8472439541967646,0.6469473506565511
13916166,2022-01-01,2621359,0.4729004327601189,0.09464502513470503,0.6060272562852126,0.2321327126967055,3.4153914141299424e-09,0.43183041140940986,0.844904269756304,0.8570988708163065,0.6975425485208463,0.7242162465637801,0.8,0.3087384549865014,0.7108023189168141,0.5680886363581081,0.5859845563658371,0.6985973555225237,0.7999999976291667,0.3484833510690025,0.6604286278974163,0.7999999543622718,0.2822201263806634,0.9622556279824407,0.8000000000000003,0.24769386572865684,0.8098569618244957,0.7668253335597279,0.586279981425346,0.7062990396015966,0.6112228068245791,0.5575747456236617,0.7950973742035787,0.6497283388599981,0.6710422631268109
14116761,2022-02-01,2755033,0.48735902934652514,0.1205991754373329,0.6087134550496146,0.24360656170774447,7.557720074768959e-09,0.4441128526508207,0.8740390908807366,0.9147870602450694,0.7009087999477119,0.7257332122105514,0.8,0.31033391155865725,0.7182558654062844,0.5695231447379272,0.588900223063587,0.6939956390265632,0.7999999761334005,0.3697440026956041,0.6620649465642507,0.7990254441884457,0.28174213076856464,0.9695613401822057,0.8000000000000004,0.25126575808330237,0.8114122511552521,0.7609367052868079,0.578967869798721,0.7223474413941517,0.6133155388404381,0.5666045769226874,0.8118649601243377,0.6123475685756188,0.6831803747266014
14297759,2022-03-01,2928345,0.5228353042421127,0.17233045676869163,0.6305159684810391,0.2540145432884416,7.408861815716428e-09,0.45186002317391055,0.9168645134780341,1.0099998939107875,0.7082822161611133,0.7330740947011306,0.8,0.31316366201247303,0.727049400616143,0.5796451216303098,0.5935217381091419,0.7160086613539679,0.7999999998332531,0.37201100508091606,0.6638875238073106,0.7966889934577663,0.28206680769007453,0.9756852842834709,0.8000000000000005,0.25629407585154923,0.8602625054880123,0.8073667742984406,0.5964247351069614,0.7292339831384348,0.6263333637007531,0.5654376798719536,0.8773058266002738,0.7100446730094384,0.7048976835360824
14497034,2022-04-01,2934000,0.47319864314080423,0.10774311957278881,0.6022529311892524,0.26051236494197305,2.3141968064077645e-09,0.46682246287555107,0.9439625374732193,1.0680603462793363,0.6671541223118737,0.7331590304837494,0.8,0.313498045452028,0.7394827256770291,0.5980201934920126,0.5984957625082462,0.7010491556340926,0.7999999801243372,0.3566517687635701,0.6860700555498916,0.7999999957455095,0.28978413970766187,0.9260577873835433,0.8,0.2740969718346632,0.8562340879859828,0.7862181246359472,0.6049105589483926,0.7260097035913797,0.6197740941200488,0.5660942577129308,1.0424094146728282,1.1973822424714524,0.659780528607054
14688630,2022-05-01,3002002,0.49149227339532947,0.1183518983961867,0.6180906857096696,0.25723924492704353,2.6849699963360507e-09,0.4534863003034569,0.897879747015869,0.9717817977828841,0.6990755170707823,0.7349968069936462,0.8,0.31382957977570725,0.730769921269617,0.5778424465216572,0.59925917720856,0.7093416870510534,0.7995226173404985,0.3569944941518984,0.6737343280389847,0.7999999906289263,0.2835012067815561,0.9712592072111946,0.8000000000000003,0.257788780124675,0.8446435840914044,0.7870373946045051,0.5943987874615934,0.7157563415214118,0.6039440707656938,0.5642818653070113,0.9623028293845992,0.9970587541872036,0.7037911858930763
14881677,2022-06-01,3075701,0.5485781892862198,0.2993257909290211,0.6162034601486649,0.2541237880439384,4.433396524894384e-09,0.4509825130394668,0.9199630055173548,1.02056461306758,0.7110527196880293,0.7412959148693076,0.8,0.31493744360015546,0.7188143775651725,0.561379056086606,0.5991991600923113,0.6694573472175035,0.7266230434299672,0.4047001029795486,0.6729004281206832,0.799999963829175,0.2815283775471002,0.9790013077169823,0.8000000000000008,0.25828734119190905,0.8837531386810025,0.8580108681091458,0.5556729763406387,0.7205781043810913,0.612449342723148,0.5712897854830662,0.8448602655486747,0.7046715023139469,0.7021518271039725
15053226,2022-07-01,3103058,0.5912158200854519,0.3005491575313193,0.6534022298305502,0.25166651578517046,6.1484586866278335e-09,0.45065403390453995,1.0013748805573361,1.2071947956333546,0.6883744736172195,0.7426328870152351,0.8,0.3158531391066,0.7147967736263315,0.5479147945443757,0.5972294033623496,0.7116240373837371,0.7999999945492142,0.3703911546420504,0.6831397856066981,0.7999999874850341,0.2886182842396504,0.9783376180855718,0.8000000000000003,0.2596662178167771,0.9120855912363696,0.8809303902970408,0.5807472559207661,0.7136419909280701,0.595637488911767,0.5665166419834385,0.9368725952002244,0.8948297180112199,0.6981285640309138
15253306,2022-08-01,3154145,0.534726536725199,0.18449753549742762,0.6395648866562432,0.2492022765185696,2.4854986402367274e-09,0.44602951496281557,1.0423997007497965,1.2777120528380324,0.6689989398333644,0.7440482839329412,0.8,0.31539648364144457,0.723434478005536,0.5683030748346096,0.5951172455465701,0.7096459930499712,0.7999999980257569,0.3552722604081542,0.6937936462100257,0.7999999965320959,0.2910549195240212,0.9655652234723495,0.8000000000000003,0.2578506940466518,0.8805920769082809,0.832577311248049,0.6075754048122974,0.7146529884735545,0.5968044503361136,0.5643074770186527,1.1206778095755126,1.4178444860581516,0.6694731925439755
15449618,2022-09-01,3172900,0.4938374244688914,0.1856029972117254,0.5966246856483128,0.2511129359871615,3.1667886923880673e-09,0.44417272620972326,0.9618135390205742,1.0491520294376366,0.6597377497919001,0.7467857722183641,0.8,0.31454510317611417,0.7242992000933719,0.565853543968162,0.5993470603130224,0.6847711629057044,0.7778336362066202,0.34660723129582616,0.6844289940185737,0.7999999944432958,0.2870092074145971,0.9073614227347329,0.8,0.2928741030750779,0.8368564265913337,0.7610124399176984,0.5879036034134029,0.7268546359248974,0.6165109278283647,0.5711474252031034,1.0947878060390934,1.2686196558181466,0.6579201973577721
15649595,2022-10-01,3182512,0.5266014327792137,0.19738890725934902,0.6288035305229218,0.25044114714955845,2.8811150132312946e-09,0.4477630838670688,0.9873491597196004,1.1738662066645955,0.6887008028072158,0.7479035718690856,0.8,0.3148763909509303,0.7265826397622558,0.567724242560343,0.5976272798969448,0.7139573235813931,0.7999999999466574,0.3601588403632854,0.6857577310129594,0.7999999941187312,0.2855355074298223,0.9766919224600107,0.8000000000000003,0.26116377329514107,0.8501825537136506,0.7937309116016483,0.590237115019914,0.725523443357333,0.6132964989111082,0.5694758613278775,1.0407020416410655,1.23475545333257,0.6857824894646344
15871480,2022-11-01,3245800,0.49832973579852147,0.16809107856461916,0.6115240929431688,0.24280208880057516,3.4878958055095666e-09,0.4301257081378167,0.9649395083680371,1.0902172325903292,0.6787219049821428,0.7498785486005766,0.8,0.3151599597670781,0.7323143778530051,0.5799188958221058,0.5993331403235888,0.7024828490872634,0.7999998553226423,0.3415080107191235,0.6796586171671939,0.7999999908682187,0.28282095734391627,0.9447297219646529,0.8000000000000003,0.2714961767612257,0.8189656507899024,0.7538247961377722,0.5790488489399235,0.7166763364302934,0.6045228091455994,0.5619689303179372,1.0082865099025016,1.0946139504520391,0.6632298919671398
16086234,2022-12-01,3332213,0.5299983067869921,0.21500643730898286,0.6203848797323233,0.2633769200157115,3.0119067101486152e-09,0.45294799650993645,0.8953489194723526,0.9528848838562414,0.7054972937863958,0.7513412092781052,0.8,0.31613335207069915,0.7298190211947171,0.5731948871976119,0.5972824573631653,0.7110061506283601,0.7999999963101401,0.34885702332879487,0.6806823868482794,0.799999988182337,0.279058212193292,0.9779647085707805,0.8000000000000003,0.2621254504541668,0.8416111448441373,0.7736276418654047,0.5878924301602111,0.7188302847250407,0.6058227277968244,0.5595068576008196,0.9203955496001621,0.8672186330596109,0.7070451698844399
16308190,2023-01-01,3362555,0.5341209441370324,0.23353716103079075,0.6205799143608532,0.26358215836387233,3.837945627971351e-09,0.45620129884574173,0.9647742240236798,1.1300454068462966,0.6989333932171158,0.7526336675979148,0.8,0.31749614126143527,0.7403364718571894,0.5842140054549552,0.5991630360218005,0.7170747516606968,0.7999999786382908,0.37024009091313076,0.6811640174806359,0.7999999850572745,0.2820104617638047,0.9897223435354371,0.8000000000000003,0.2643951241540294,0.8623767818907286,0.8058586250790611,0.5892444597618699,0.7356091080869999,0.6254983734800525,0.5655626669427753,0.9180624136751083,0.8375875844406071,0.7067434918086848
16530248,2023-02-01,3370814,0.5782865658038044,0.3424842673970044,0.6245781262182583,0.24292653694822988,2.348576416677517e-09,0.4195692125064591,0.9348519207142544,0.9972832049056943,0.6409269910262542,0.748264672194145,0.8,0.31757265213658603,0.751540943269553,0.6081972986339563,0.5994269555037827,0.6745522019412349,0.75997833884031,0.3407174638198066,0.6749210268405132,0.7999999879455145,0.28069322941076813,0.8603595332345271,0.8,0.27453038751464903,0.9432836540898606,0.9034982733169021,0.572609646621034,0.73460468185006,0.6387992921733952,0.5580059938184082,1.0627746253452297,1.192546676195181,0.6431237776084756
16730072,2023-03-01,3392077,0.5436490612870633,0.3127245155977582,0.6010850419805036,0.23429783425895226,8.223472403035004e-09,0.4099383457472119,0.8104511030974526,0.7603998403254779,0.5660128839262856,0.7463974219374528,0.8,0.3169473102332005,0.7598751832400652,0.621822525683656,0.5969154378910351,0.6467763854576427,0.7085801916918004,0.32843907659508503,0.6679474635245645,0.7998764142652448,0.2797063960639713,0.6791317978540236,0.7999999999999999,0.33826677111612447,0.9161056748044277,0.8655975673920029,0.5684587033728843,0.744212712445121,0.6473911863643899,0.5609106123759144,0.9539682131113835,0.8780674881988184,0.6067469613629123
16950603,2023-04-01,3417035,0.49623740123071475,0.19015747610909947,0.6089349116557329,0.2667611281556765,2.578695396104891e-09,0.4575324767348858,0.9701130996808431,1.1098409665732432,0.6863811947434275,0.7488942213724955,0.8,0.31807171597593376,0.7594802072751947,0.6176736065746415,0.5995393952844932,0.715928821300139,0.7999999918979095,0.3596135377592123,0.6977933478319324,0.7999999957472086,0.2892061359882844,0.9717487476354497,0.8000000000000003,0.26666524461533797,0.8656823216944944,0.8043601526235298,0.58426495219932,0.7419045484353783,0.6346721489105003,0.5622399610773837,1.0370967488584872,1.1778295214052343,0.6866300673764579
17162287,2023-05-01,3457737,0.48650796557997233,0.11486853125880575,0.616300404262264,0.2652585738556235,2.6790087509498406e-09,0.4577060194811627,0.9690124053836172,1.1224112976281646,0.6912395620364531,0.7497485189161269,0.8,0.3178899318742795,0.7608540633305912,0.6187069510357786,0.598831683922205,0.7414357059594555,0.7999999999999994,0.36459680236524283,0.7033979247217432,0.7999999969724705,0.2928603368461843,0.9826042876215568,0.8000000000000003,0.26599543842098516,0.8476776844504823,0.7868755371863076,0.5807037167301597,0.7472585042706886,0.6384771687145541,0.5660180555349944,0.955986862503742,0.9759659250072854,0.6869247045035684
