pair,bin,mean_l1_pct,mean_alpha,median_alpha,n
l1_equal_vs_alpha_baseline,9,40.0,1.0328215741704028,-0.007470721020783136,11793400
l1_equal_vs_alpha_baseline,10,40.0,0.09399891435443457,-0.015206716588296323,11793400
l1_equal_vs_alpha_baseline,11,40.0,19.383826451017285,-0.00879079644193187,11793400
l1_equal_vs_alpha_baseline,12,40.0,0.6547616406327902,-0.012223350030804103,11793400
l1_equal_vs_alpha_baseline,13,40.0,17378822.795575786,-0.008125186182649085,11793400
l1_equal_vs_alpha_baseline,14,40.0,39151359.164724685,-0.010544580508052993,11793400
l1_equal_vs_alpha_baseline,15,40.16722102510581,0.028573937309640418,-0.019817918556985573,11793400
l1_equal_vs_alpha_baseline,16,45.75049792515242,0.10698179556299402,-0.03215297890381821,11793400
l1_equal_vs_alpha_baseline,17,53.03032954524894,0.4852249274275683,-0.027864190600243224,11793400
l1_equal_vs_alpha_baseline,18,56.666666665236804,0.3785652920160397,-0.017165462575399193,11793400
l1_equal_vs_alpha_baseline,19,60.394947567109426,0.5853229741489969,-0.02643220536025089,11793400
l1_equal_vs_alpha_baseline,20,70.64914358698874,0.040871650262294584,-0.021033314337473713,11793400
l1_mcap_vs_alpha_baseline,1,1.1878941489566346,0.5281377746103271,-0.031774543591935836,11756329
l1_mcap_vs_alpha_baseline,2,4.305646076632778,0.012981691504256678,-0.017072448197612333,11756329
l1_mcap_vs_alpha_baseline,3,7.1159279369947415,0.014420342946357651,-0.008856813387190281,11756329
l1_mcap_vs_alpha_baseline,4,8.876604522652617,0.010798119636282858,-0.008675827094789968,11756329
l1_mcap_vs_alpha_baseline,5,9.728038314433588,0.014719990283629247,-0.005775113368380292,11756328
l1_mcap_vs_alpha_baseline,6,10.137071500370743,56708443.74697076,-0.005208575951418714,11756328
l1_mcap_vs_alpha_baseline,7,13.247018408878033,0.0469503795449503,-0.008447827274705604,11756328
l1_mcap_vs_alpha_baseline,8,17.906581348526004,0.38047228511175224,-0.012323708593958285,11756328
l1_mcap_vs_alpha_baseline,9,22.97655225630205,0.007429433781660637,-0.012221583760235119,11756328
l1_mcap_vs_alpha_baseline,10,28.30494516032115,0.010050056887899306,-0.021054747539853185,11756328
l1_mcap_vs_alpha_baseline,11,34.00054492199034,0.6425345128707755,-0.013384334998190653,11756328
l1_mcap_vs_alpha_baseline,12,39.89567925102787,0.010059110468896452,-0.02368148436408861,11756328
l1_mcap_vs_alpha_baseline,13,46.091728776233786,0.03620054510621762,-0.018479644032365305,11756328
l1_mcap_vs_alpha_baseline,14,52.692197992861644,133470.57417984327,-0.02156711915624568,11756328
l1_mcap_vs_alpha_baseline,15,59.965480882985446,0.30635993753271973,-0.0269949294216923,11756328
l1_mcap_vs_alpha_baseline,16,67.94147675925123,0.027357797529289737,-0.03368218530574873,11756328
l1_mcap_vs_alpha_baseline,17,76.13659848198111,0.057022476193661804,-0.029285444147535696,11756328
l1_mcap_vs_alpha_baseline,18,84.02297332809827,0.046714655936453436,-0.03532102198652156,11756328
l1_mcap_vs_alpha_baseline,19,89.15896442189509,0.1506448567169711,-0.04915660370286247,11756328
l1_mcap_vs_alpha_baseline,20,94.94090571090472,19.59444818093189,-0.05589222295595484,11756328
l1_equal_vs_alpha_equal,1,3.117815625390391,1.503438397181966e+31,-0.012919803301234566,11793401
l1_equal_vs_alpha_equal,2,10.653499550238921,2.3669152827089682e+28,-0.023150091101779416,11793401
l1_equal_vs_alpha_equal,3,17.37501324975823,3.1200246908436407e+28,-0.02516784796863833,11793401
l1_equal_vs_alpha_equal,4,23.066388484242815,1.2915297201932902e+29,-0.02706855653153644,11793401
l1_equal_vs_alpha_equal,5,27.82319972452897,2.5117998355798765e+28,-0.027071531939974296,11793401
l1_equal_vs_alpha_equal,6,31.877800163463835,2.9226904084260512e+29,-0.03096736280233685,11793401
l1_equal_vs_alpha_equal,7,34.998994199601725,1.1517448758868934e+30,-0.026807404497144582,11793401
l1_equal_vs_alpha_equal,8,38.5869808611481,4.970347601720079e+29,-0.026818245831896237,11793400
l1_equal_vs_alpha_equal,9,40.0,1.9536391213318554e+19,-0.02277272177544995,11793400
l1_equal_vs_alpha_equal,10,40.0,223.07617129439126,-0.026765770336265943,11793400
l1_equal_vs_alpha_equal,11,40.0,184.3604154400416,-0.02321053736228968,11793400
l1_equal_vs_alpha_equal,12,40.0,208.53582552127895,-0.02689929409012205,11793400
l1_equal_vs_alpha_equal,13,40.0,198.84440937218065,-0.025228050779032694,11793400
l1_equal_vs_alpha_equal,14,40.0,1.9536391213318554e+19,-0.02423281640269941,11793400
l1_equal_vs_alpha_equal,15,40.16722102510581,2.4166606579649175e+29,-0.030218572482669473,11793400
l1_equal_vs_alpha_equal,16,45.75049792515242,1.0041373579491407e+30,-0.03551084857906707,11793400
l1_equal_vs_alpha_equal,17,53.03032954524894,7.57217381796513e+29,-0.03496181188325209,11793400
l1_equal_vs_alpha_equal,18,56.666666665236804,2.0090698786164846e+30,-0.032918624392474484,11793400
l1_equal_vs_alpha_equal,19,60.394947567108645,7.446177018752873e+29,-0.03511646493745689,11793400
l1_equal_vs_alpha_equal,20,70.64914358698874,1.3796524112122457e+30,-0.034240822689483114,11793400
l1_mcap_vs_alpha_mcap,1,1.1878941489566346,-0.021627241376050346,-0.03221679723395732,11756329
l1_mcap_vs_alpha_mcap,2,4.305646076632778,0.015779938157996914,-0.01593943566874134,11756329
l1_mcap_vs_alpha_mcap,3,7.1159279369947415,0.014732266393281535,-0.006813416211427004,11756329
l1_mcap_vs_alpha_mcap,4,8.876604522652617,0.008984374294322141,-0.0041870977437546975,11756329
l1_mcap_vs_alpha_mcap,5,9.728038314433588,0.010975422589248681,-0.0009226224534511914,11756328
l1_mcap_vs_alpha_mcap,6,10.137071500255958,0.03263081380451127,-0.0005442425518069702,11756328
l1_mcap_vs_alpha_mcap,7,13.247018408878033,0.039041470408676504,-0.005560885896615634,11756328
l1_mcap_vs_alpha_mcap,8,17.906581348501305,0.01685290479011673,-0.0056261605503298805,11756328
l1_mcap_vs_alpha_mcap,9,22.97655225630205,0.006007654208956951,-0.0021076924451986236,11756328
l1_mcap_vs_alpha_mcap,10,28.30494516032115,0.00399382641621219,-0.008468722457762392,11756328
l1_mcap_vs_alpha_mcap,11,34.00054492192784,0.04705568483009538,-0.005560885896615745,11756328
l1_mcap_vs_alpha_mcap,12,39.89567925102787,0.003052034776310059,-0.008115151845113834,11756328
l1_mcap_vs_alpha_mcap,13,46.091728776233786,0.030646913786359618,-0.004362522219032496,11756328
l1_mcap_vs_alpha_mcap,14,52.692197992861644,0.008324312115988327,-0.004178773557798792,11756328
l1_mcap_vs_alpha_mcap,15,59.96548088299362,0.0066024531327714825,-0.0055671050802295965,11756328
l1_mcap_vs_alpha_mcap,16,67.94147675925123,0.006054798406363716,-0.006723761128163789,11756328
l1_mcap_vs_alpha_mcap,17,76.13659848207892,0.010416135065497134,-0.003466694193144721,11756328
l1_mcap_vs_alpha_mcap,18,84.02297332809827,0.008899346267211755,-0.0027675578427830156,11756328
l1_mcap_vs_alpha_mcap,19,89.15896442189509,0.007515152580575273,-0.0005479425838951502,11756328
l1_mcap_vs_alpha_mcap,20,94.94090571090472,0.35205542303280035,-0.0005971451673351811,11756328
