strategy,beta_bin,count
max_sharpe,-0.95,54987
max_sharpe,-0.9,111126
max_sharpe,-0.85,67916
max_sharpe,-0.8,80284
max_sharpe,-0.75,95679
max_sharpe,-0.7,156612
max_sharpe,-0.65,121585
max_sharpe,-0.6,103112
max_sharpe,-0.55,118329
max_sharpe,-0.5,194265
max_sharpe,-0.45,132859
max_sharpe,-0.4,138220
max_sharpe,-0.35,189065
max_sharpe,-0.3,262453
max_sharpe,-0.25,266501
max_sharpe,-0.2,285405
max_sharpe,-0.15,483086
max_sharpe,-0.1,586006
max_sharpe,-0.05,4295516
max_sharpe,0.0,11594156
max_sharpe,0.05,5812153
max_sharpe,0.1,11469000
max_sharpe,0.15,5284509
max_sharpe,0.2,2301189
max_sharpe,0.25,1743946
max_sharpe,0.3,2158427
max_sharpe,0.35,2396306
max_sharpe,0.4,2590135
max_sharpe,0.45,2707329
max_sharpe,0.5,3100219
max_sharpe,0.55,3855527
max_sharpe,0.6,4401990
max_sharpe,0.65,5225604
max_sharpe,0.7,6641004
max_sharpe,0.75,6805092
max_sharpe,0.8,7608146
max_sharpe,0.85,9622433
max_sharpe,0.9,9500923
max_sharpe,0.95,9897908
max_sharpe,1.0,11005837
max_sharpe,1.05,10473076
max_sharpe,1.1,10596384
max_sharpe,1.15,9244096
max_sharpe,1.2,9364374
max_sharpe,1.25,7939191
max_sharpe,1.3,7779386
max_sharpe,1.35,7373936
max_sharpe,1.4,5486382
max_sharpe,1.45,5116556
max_sharpe,1.5,4500462
max_sharpe,1.55,3430529
max_sharpe,1.6,2835733
max_sharpe,1.65,2225110
max_sharpe,1.7,2421066
max_sharpe,1.75,1636112
max_sharpe,1.8,1332381
max_sharpe,1.85,1204276
max_sharpe,1.9,1208409
max_sharpe,1.95,761822
max_sharpe,2.0,765269
max_sharpe,2.05,581236
max_sharpe,2.1,611717
max_sharpe,2.15,549163
max_sharpe,2.2,428810
max_sharpe,2.25,366988
max_sharpe,2.3,275278
max_sharpe,2.35,255949
max_sharpe,2.4,196705
max_sharpe,2.45,198941
max_sharpe,2.5,141755
max_sharpe,2.55,119470
max_sharpe,2.6,120852
max_sharpe,2.65,95025
max_sharpe,2.7,81576
max_sharpe,2.75,94052
max_sharpe,2.8,143603
max_sharpe,2.85,64701
max_sharpe,2.9,47571
max_sharpe,2.95,53360
max_sharpe,3.0,45317
max_sharpe,3.05,47873
max_sharpe,3.1,37823
max_sharpe,3.15,51880
max_sharpe,3.2,36669
max_sharpe,3.25,30371
max_sharpe,3.3,29250
max_sharpe,3.35,46945
max_sharpe,3.4,23076
max_sharpe,3.45,23546
max_sharpe,3.5,27514
max_sharpe,3.55,20498
max_sharpe,3.6,80721
max_sharpe,3.65,23181
max_sharpe,3.7,37956
max_sharpe,3.75,17504
max_sharpe,3.8,12445
max_sharpe,3.85,11463
max_sharpe,3.9,9462
max_sharpe,3.95,12612
max_sharpe,4.0,10976
max_sharpe,4.05,8605
