block_number,block_date,n_wallets,mean_dbeta_better_return,mean_dbeta_safer_risk,mean_dbeta_max_sharpe,mean_dbeta_equal_weight,mean_dbeta_mcap_weight
13717847,2021-12-01,2579086,0.0002437420029835929,-0.024235127595272306,0.06773219626570647,-0.03564561956743462,-0.07896026420739902
13916166,2022-01-01,2621359,-0.0333473477235366,-0.04513127337524054,-0.09833492432157717,-0.05468509982916221,-0.09723666497950197
14116761,2022-02-01,2755033,-0.034999735399694074,-0.038960440921225324,-0.14287057615623774,-0.014762959785073838,-0.11617118318523928
14297759,2022-03-01,2928345,-0.01905454105233835,-0.03528729422204762,-0.1511507694615359,-0.014472319344876406,-0.114343489445867
14497034,2022-04-01,2934000,-0.017841550720839344,-0.052266603313263854,0.009913429858280913,-0.05630471400647107,-0.09651236306496819
14688630,2022-05-01,3002002,-0.015234998323104777,-0.046463935129254307,0.03405797151028479,-0.025585677165250113,-0.10544285744982142
14881677,2022-06-01,3075701,-0.030121107758077074,-0.04437422479193017,-0.18056087337011997,0.01710472796599722,-0.11453376087053953
15053226,2022-07-01,3103058,-0.03789970883766735,-0.04035308012764978,-0.11698077750747839,0.0041828959192797555,-0.09779990819899778
15253306,2022-08-01,3154145,-0.03416017315242807,-0.04047308866916855,0.013427810353387616,-0.015906009109699127,-0.08028137597198633
15449618,2022-09-01,3172900,-0.0009380542662266694,-0.034922829035637246,0.10171502617819846,-0.0067223382776513485,-0.07583882541895312
15649595,2022-10-01,3182512,-0.02709819065164799,-0.03653615004702563,-0.008963706023429817,-0.010175784997854436,-0.08072381428899304
15871480,2022-11-01,3245800,-0.023116690359505657,-0.03453907466724474,0.027081564959609464,-0.02158241271012203,-0.07040253283383437
16086234,2022-12-01,3332213,-0.003459982120721082,-0.050004318461073304,0.014069700859305178,0.0037198259274774637,-0.10460401788002031
16308190,2023-01-01,3362555,-0.013442323754442142,-0.046448975434795516,-0.10719831938713067,0.005389773103208757,-0.10859140065775799
16530248,2023-02-01,3370814,-0.0545977124322518,-0.03909967077273623,0.011356751692580441,-0.04680360187584655,-0.09664333370641026
16730072,2023-03-01,3392077,-0.024304878796329595,-0.027357980183980297,0.10303761348133177,-0.04625459183834079,-0.10122471246095267
16950603,2023-04-01,3417035,-0.028078438944870224,-0.057644616093190666,-0.02024107976494788,-0.03254887032543942,-0.08776653258901129
17162287,2023-05-01,3457737,-0.034152082502342716,-0.05117549935966902,-0.058945996239192215,-0.01949743277230299,-0.08969158942724109
17382266,2023-06-01,3442453,-0.012804351924892507,-0.04344522616892908,-0.0024228210184071,-0.006980888505597372,-0.09543287079435123
17595510,2023-07-01,3533345,-0.038194018529460326,-0.05834037743038467,-0.027681569534516625,-0.026562538836544327,-0.11148910190821092
17816434,2023-08-01,3527396,-0.03698252309787624,-0.06261088966080496,-0.029467058104089807,-0.04908136553244693,-0.10579056480816211
18037988,2023-09-01,3655348,-0.08075574769458675,-0.036280087661182715,-0.0919319280634227,-0.028716612869626387,-0.050829567830211454
18251965,2023-10-01,3693849,-0.026360039333476474,-0.03803016999393964,-0.01999193730495621,-0.013383791773254283,-0.05143948883223253
18473543,2023-11-01,3759567,-0.00745131968949404,-0.03199058868658433,0.02057960386648698,-0.0345455114121825,-0.08195799926023796
18687851,2023-12-01,3781817,-0.009954883912196672,-0.033056246623207726,0.029464121216483074,-0.0440823809116644,-0.08165855686055663
18908895,2024-01-01,3855395,-0.23482390266801492,-0.04033938489527961,-0.11754009863970169,-0.1419732103276228,-0.10663033523681284
19129889,2024-02-01,3977147,-0.19622883986605227,-0.050496599518554924,-0.08748389515782495,-0.10014656048638472,-0.1199517279500256
19336607,2024-03-01,4005064,0.016099558223350095,-0.03514213596805668,0.08003322716040338,-0.018281477142003736,-0.08927811983309368
19557289,2024-04-01,4153412,0.013613365649166709,-0.030316080579263383,0.06199036213776207,-0.05947978548007917,-0.1000820111845381
19771560,2024-05-01,4273747,-0.0372240041560764,-0.06555246331651998,-0.04319913008208953,-0.048758770561489966,-0.12907442750104167
19993250,2024-06-01,4506122,-0.038561501627098725,-0.07028504914591835,-0.07022654474546562,-0.043682191095305495,-0.11905342348935147
20207949,2024-07-01,4524722,-0.040065611207602145,-0.05720045039020229,-0.028339772443507563,-0.038861498012868,-0.10437644541037092
20429973,2024-08-01,4668597,-0.08823607741267471,-0.07330782040859937,-0.18119435196082986,-0.05889982671508364,-0.11307493846281275
20651994,2024-09-01,4693885,-0.06628114623169509,-0.06113212325813372,-0.16045903591809244,-0.04076271162163859,-0.10103246836770069
20866919,2024-10-01,4793311,-0.05570588539165815,-0.06774588209451332,-0.025656189709587354,-0.05076449687537604,-0.10387039476181772
21089069,2024-11-01,4748515,-0.03549778203591831,-0.06587161650901846,0.0644613375437417,-0.07353000251288122,-0.10543955632963163
21303934,2024-12-01,4928177,-0.024765527793922427,-0.06142847579974681,0.034952192642261355,-0.06060228650739845,-0.09564966878157952
21525891,2025-01-01,5105209,-0.011757895905937383,-0.058495429692414065,0.05688536840636687,-0.038340417225551836,-0.10981689840167921
21747950,2025-02-01,5247405,-0.07480656003291819,-0.07760816758917782,-0.17544698679165568,-0.03358543659651616,-0.12988343693472315
21948292,2025-03-01,5268023,-0.0866610307616155,-0.06824702573030743,-0.19871502379609204,-0.04966350714137692,-0.12645081399619987
22170335,2025-04-01,5341607,-0.06041530584646097,-0.06103529612441884,-0.159385761421678,-0.03968187466403454,-0.11064040080582407
22385294,2025-05-01,5479943,-0.050988826131810536,-0.07352274008576701,-0.0683513980807725,-0.045848618321737374,-0.10378749483914645
22606143,2025-06-01,5417046,-0.03462499961623538,-0.0688993470098439,0.0366599312152705,-0.02893085236662289,-0.11088679066003433
22820674,2025-07-01,5567234,-0.04243578800462586,-0.08324196771843495,0.005375779545680753,-0.024634555889931815,-0.13022212155467539
23042514,2025-08-01,5568560,-0.052029204265006526,-0.07747369713122078,0.02832328200215883,-0.03939260211731802,-0.12466751304354673
23264566,2025-09-01,5989657,-0.022264443923863148,-0.06687665820096456,0.11758812620020456,-0.030465697263987554,-0.111136069526278
23479244,2025-10-01,6087782,-0.026964663689111823,-0.06825507356337028,0.0650617222106765,-0.012619084466048702,-0.11853451403974369
23700767,2025-11-01,6087201,-0.025271801612920995,-0.0688044937549929,-0.13961176619800517,0.0027920461415881495,-0.15346111396093856
23914921,2025-12-01,6337108,-0.04111142537857918,-0.0447610874953665,-0.13956690499075908,0.005186269630818105,-0.1206005082649911
