block_number,block_date,n_wallets,mean_delta_better_return_vs_equal,median_delta_better_return_vs_equal,pct_closer_better_return_vs_equal,pct_farther_better_return_vs_equal,pct_unchanged_better_return_vs_equal,mean_delta_better_return_vs_mcap,median_delta_better_return_vs_mcap,pct_closer_better_return_vs_mcap,pct_farther_better_return_vs_mcap,pct_unchanged_better_return_vs_mcap,mean_delta_safer_risk_vs_equal,median_delta_safer_risk_vs_equal,pct_closer_safer_risk_vs_equal,pct_farther_safer_risk_vs_equal,pct_unchanged_safer_risk_vs_equal,mean_delta_safer_risk_vs_mcap,median_delta_safer_risk_vs_mcap,pct_closer_safer_risk_vs_mcap,pct_farther_safer_risk_vs_mcap,pct_unchanged_safer_risk_vs_mcap,mean_delta_max_sharpe_vs_equal,median_delta_max_sharpe_vs_equal,pct_closer_max_sharpe_vs_equal,pct_farther_max_sharpe_vs_equal,pct_unchanged_max_sharpe_vs_equal,mean_delta_max_sharpe_vs_mcap,median_delta_max_sharpe_vs_mcap,pct_closer_max_sharpe_vs_mcap,pct_farther_max_sharpe_vs_mcap,pct_unchanged_max_sharpe_vs_mcap
12344945,2021-05-01,1822425,-0.060725767340922804,0.0,32.2112569790252,14.70035803942549,53.08838498154931,0.0813545441956055,4.1248637838720015e-10,21.64780443639656,30.13523190254743,48.10787823915936,-0.07015276860211936,-2.220446049250313e-16,25.620203849266776,7.153051565908062,67.22674458482516,-0.022568811954325363,0.0,18.508361112254278,14.441197854507044,66.94135561134203,0.0025960425193172825,0.0,40.377957940655996,41.0228130101376,18.599229049206414,0.1250217584807904,0.05971345759930613,31.79801637927487,56.91383733212615,11.179060866702335
12545219,2021-06-01,1944649,-0.0011846814279119293,6.317169010117141e-14,28.40517748961381,24.239232889842846,47.35558962054335,0.06921242171094266,2.9682423186017104e-11,27.251498856606,28.989293183499953,43.7517001782841,-0.04140162934103798,-7.864094930809529e-10,22.235683663221486,10.359093080550783,67.40522325622773,-0.009393372053487134,-3.5384184471354274e-10,17.503467206678426,15.402831050744888,67.08619396096674,0.23733707743495536,0.09119655657296777,2.352712494645563,55.93338437939186,41.713903125962574,-0.051050920363622916,-1.3877787807814457e-17,38.374791543358214,35.77915603278535,25.838544642246493
12738509,2021-07-01,2077642,-0.042351195746080934,-2.220446049250313e-16,37.8404941756087,22.4324017323485,39.72710409204281,0.15992273868228932,1.9209528412389432e-10,22.920069963930263,40.83436896250653,36.2455610735632,-0.04079335332788633,-7.426556591916267e-11,22.610632630645704,11.004783307230023,66.38458406212428,0.0025587757410233058,4.6814274679007895e-11,16.705909872826986,17.22245699692247,66.07163313025055,0.2499231471998765,0.11329707806271705,0.10020975702262469,57.81920080552857,42.0805894374488,0.05318541994204417,2.7755575615628914e-16,37.87952881198974,46.12103528904402,15.999435898966233
12936340,2021-08-01,2186002,-0.04777915340694502,0.0,35.965291889028464,24.29878838171237,39.735919729259166,0.16461830867904603,4.3915082681422746e-10,24.009630366303416,41.681938076909354,34.181807701914266,-0.05102162244729967,-1.0353973234344949e-09,24.100252424288723,10.428078290870731,65.47166928484054,-0.008251978475553227,-2.600697435184429e-13,18.60236175447232,16.036490360027116,65.23452403062761,0.2441307127655928,0.11048314619654542,0.9839423751670859,57.67062427207294,41.34543335275997,0.21679158244202884,0.05880685013674419,30.427968501401185,53.39935645072603,16.046051192999826
13136427,2021-09-01,2286203,-0.06613023788030704,0.0,35.24717621313593,18.55150220693438,46.2013215799297,0.20424266653565634,1.1497460622456046e-08,21.703759464929405,45.874447719646945,32.42174907477595,-0.06769210041137134,-1.6981593908838022e-10,26.106168174917098,8.457516677215454,65.43631514786745,-0.0181456560643204,-9.674450129892875e-11,18.907638560530277,15.913984891105471,65.17833280771656,0.0960640301458148,2.220446049250313e-16,23.25051624899451,45.7612906640399,30.988193086965595,0.24586298959746555,0.17468295936825656,27.324607657325267,60.53718764256717,12.138160959459855
13330090,2021-10-01,2385506,-0.054735165621617246,-8.881784197001252e-16,38.73475899871977,19.250171661693578,42.01506933958665,0.20203978671603182,1.5858373503263579e-09,22.299713352219612,42.551098173720796,35.149146554232104,-0.0605426485580032,-1.4734147235628825e-10,25.28838745322795,9.159649986208377,65.55196256056367,-0.019644980959598685,0.0,19.36649918298256,15.351795384291634,65.28166351289832,0.18562763190233664,0.024165725423279882,10.565641000274157,51.899764662088465,37.53459433763739,0.1777025487629483,0.06367289423894928,29.988648110715292,53.90273593946107,16.108574029996152
13527859,2021-11-01,2504425,-0.02931610609579121,3.236300116782331e-14,28.97727023168991,19.198858021302296,51.8238717470078,0.17472549623905315,1.666897730956407e-10,22.734000818551163,38.206494504726635,38.99338171436557,-0.06099014673027075,-4.701304900933678e-10,25.210776924843024,9.049781886061671,65.7394411890953,-0.019730247648253686,-5.854333684496282e-11,18.87339409245635,15.677969993112193,65.38251295207482,0.18114601170889238,0.011392181231227094,9.158110145043272,50.86704532976631,39.97484452519041,0.169354000761595,0.02091155942717804,29.449434500933346,51.630454096249636,18.853988440460384
13717847,2021-12-01,2579086,-0.07451367616624446,0.0,33.245963880227336,15.614950412665573,51.13908570710709,0.07740474418893238,5.533573599336705e-12,22.30514996397949,31.66505498459532,45.859230750738824,-0.06465475961629653,-4.6494380567807525e-10,25.49096850589705,7.876588838061235,66.63244265604172,-0.02312578398858443,0.0,18.88056466515657,14.700285294868026,66.24858573928904,0.10167299014473304,3.3306690738754696e-16,21.89609032036931,47.42633630673813,30.67757337289257,0.18320899787723516,0.023548705628114508,27.421768797163026,52.24385693226205,20.163809969888558
13916166,2022-01-01,2621359,-0.02561889104123151,6.072919944699606e-14,27.329488253993446,19.933553549895304,52.73695819611125,0.09905464290768129,1.1969314428483813e-11,22.36786338689207,31.302885259134673,46.329213205821866,-0.06378761866633785,-3.261714232039026e-10,24.891439898159696,8.07878661411886,67.02977348772144,-0.004503279315219377,0.0,17.089570715037507,16.02039247581121,66.88999866099988,0.23803938141862535,0.06888729372573166,0.6720941313265372,55.58601473510496,43.74189113356851,0.08429505528676813,2.636779683484747e-16,31.08124449951342,43.77767409957964,25.141043252755534
14116761,2022-02-01,2755033,-0.031737573183970386,0.0,28.474105391841043,20.996191334187287,50.52970327397167,0.09315638574896873,4.490491312125755e-12,22.316901467241955,32.155767281190464,45.52729495436171,-0.06366826564627333,-1.4577394846782e-09,24.49433455062063,8.82036621702898,66.68529923235039,0.004091575987877443,2.220446049250313e-16,16.739726892563535,16.849961506813166,66.41027530341742,0.24382812797161937,0.08455381504328452,0.11778443307212655,56.1344637251169,43.74775184181097,0.09360909471804867,2.7755575615628914e-17,31.032150976050016,44.90265633841772,24.065156388326383
